source,figure_ref,page,caption
WGIII_TAR_full_report.pdf,Figures ,134,"Figures 2.6 and 2.7 show the simulation results of models,
assuming that non-OECD countries would participate in miti-
gation. The distribution of mitigation among the countries is
based on different approaches, such as the introduction of emis-
sion caps, or the assumption of the same rate of emission reduc-
tion for all countries, or global emission trading. The results
show that emission trading may lower the mitigation cost, and
could lead to more mitigation in the non-OECD countries. 
"
WGIII_TAR_full_report.pdf,Figure 2.5:,134,"Figure 2.5: Scatter plot of GDP growth versus energy intensi-
ty reduction in baseline scenarios (including world and region-
al data).
"
WGIII_TAR_full_report.pdf,Figure 2.7:,135,"Figure 2.7: Non-OECD CO2 emission reduction for 550ppmv stabilization, estimated for each scenario source as baseline emis-
sions minus emissions in the 550ppmv stabilization scenario divided by baseline emissions. Dotted lines show the scenarios which
assume carbon credit trading between the OECD and developing regions (for legend details see Appendix 2.1).
"
WGIII_TAR_full_report.pdf,Figure 2.6:,135,"Figure 2.6: Global CO2 emission reduction from baseline for 550ppmv stabilization scenarios, estimated for each scenario
source as baseline emissions minus emissions in the 550ppmv stabilization scenario (for legend details see Appendix 2.1).
"
WGIII_TAR_full_report.pdf,Figure 2.8 (a),136,"Figure 2.8 (a) shows the relationship between the effects of
efficiency improvement policy in mitigation scenarios and the
energy intensity reduction assumption in baseline scenarios.
This figure suggests an inverse relationship between them. The
implication of this is that scenarios in which there is an
assumed adoption of high-efficiency measures in the baseline
usually would have less scope for further introduction of effi-
ciency measures in the mitigation scenarios, as compared to
scenarios that have a lower level of efficiency improvement in
their baseline.8 As a result, the additional reduction of energy
"
WGIII_TAR_full_report.pdf,Figure 2.8 (b),136,"Figure 2.8 (b) shows the relationship between the effects of
decarbonization policies and the carbon intensity reductions
assumed in the baseline scenarios. This figure suggests that
baseline scenarios with high carbon intensity reductions show
larger carbon intensity reductions in their mitigation scenarios,
while those with low carbon intensity reductions in the base
case show smaller reductions in carbon intensity in their corre-
sponding stabilization cases. This is somewhat counterintuitive
and difficult to explain simply on the basis of the results avail-
able. One might expect that high carbon intensity reductions in
the base case might “use up” decarbonization potential, giving
rise to lower additional reduction of carbon intensity in mitiga-
tion scenarios. On the other hand, increased investment in low-
carbon energy technology in the base case could increase the
resource base of low-carbon energy, thereby providing more
opportunity to reduce CO2 emissions in the stabilization case.
The mitigation potential in this direction depends not only on
the technology but also, and perhaps more, on the economics
and social acceptance of the technology. A closer and more
careful analysis of which particular mitigation policies were
assumed in constructing the scenario than was possible on the
basis of the available information, would reveal the underlying
reasons for such a pattern.
"
WGIII_TAR_full_report.pdf,Figure 2.8:,136,"Figure 2.8: Scatter plots to analyze the relationships between baseline scenario assumptions and mitigation scenario outputs in
Energy Intensity (a), Carbon Intensity (b), and GDP growth (c).
"
WGIII_TAR_full_report.pdf,Figure 2.9:,142,"Figure 2.9: CO2 Emissions in Global Futures Scenarios (narrative scenarios). Acronyms: OCF, the “Our Common Future” sce-
nario from Duchin et al., 1994; GS, the “Global Shift”; ER, the “European Renaissance”; GC, the “Global Crisis”; and BG the
“Balanced Growth” scenarios from the Central Planning Bureau of the Netherlands (CPB, 1992); A1, A2, A3, B, C1 and C2,
scenarios from Nakicenovic et al., 1998; CW-R, “Conventional Worlds – Reference”; and CW-PR, “Conventional Worlds –
Policy Reform” from Gallopin et al., 1997 and Raskin et al., 1998.  Note that this figure shows emission projections from a sub-
set of the Global Futures Scenarios which discuss emissions, and a slightly higher proportion of scenarios in this larger group
foresee declining emissions (13 of 35 scenarios, compared to 4 of 14 scenarios shown in the figure).
"
WGIII_TAR_full_report.pdf,Figure 2.10:,144,"Figure 2.10: Schematic illustration of alternative scenario
formulations ranging from narrative storylines to quantitative
formal models (source: Nakicenovic et al., 2000).
"
WGIII_TAR_full_report.pdf,Figure 2.11,146,"Figure 2.11. Schematic illustration of SRES scenarios. The
four scenario “families” are shown, very simplistically, for
illustrative purposes, as branches of a two-dimensional tree.
The two dimensions shown indicate global and regional sce-
nario orientation, and development and environmental orien-
tation, respectively. In reality, the four scenarios share a space
of a much higher dimensionality given the numerous driving
forces and other assumptions needed to define any given sce-
nario in a particular modelling approach. The schematic dia-
gram illustrates that the scenarios build on the main driving
forces of GHG emissions.  Each scenario family is based on a
common specification of some of the main driving forces. 
"
WGIII_TAR_full_report.pdf,Figure 2.12 ,147,"Figure 2.12 illustrates the range of global energy-related and
industrial CO2 emissions for the 40 SRES scenarios against the
background of all the 400 emissions scenarios from the litera-
ture documented in the SRES scenario database. The six sce-
nario groups are represented by the six illustrative scenarios.
Figure 2.12 also shows a range of emissions of the six scenario
groups next to each of the six illustrative scenarios. 
"
WGIII_TAR_full_report.pdf,Figure 2.12 ,147,"Figure 2.12 shows that the four marker and two illustrative
scenarios by themselves cover a large portion of the overall
scenario distribution. This is one of the reasons that the SRES
Writing Team recommended the use of all four marker and two
illustrative scenarios in future assessments. Together, they
cover most of the uncertainty of future emissions, both with
respect to the scenarios in the literature and the full SRES sce-
nario set. Figure 2.12 also shows that they are not necessarily
close to the median of the scenario family because of the nature
of the selection process. For example, A2 and B1 are at the
upper and lower bounds of their scenario families, respective-
"
WGIII_TAR_full_report.pdf,Figure 2.12:,147,"Figure 2.12: Global CO2 emissions from energy and industry, historical development from 1900 to 1990 and in 40 SRES sce-
narios from 1990 to 2100, shown as an index (1990 = 1). The range is large in the base year 1990, as indicated by an “error”
bar, but is excluded from the indexed future emissions paths. The dashed time-paths depict individual SRES scenarios and the
blue shaded area the range of scenarios from the literature (as documented in the SRES database). The median (50th), 5th, and
95th percentiles of the frequency distribution are shown. The statistics associated with the distribution of scenarios do not imply
probability of occurrence (e.g., the frequency distribution of the scenarios in the literature may be influenced by the use of IS92a
as a reference for many subsequent studies). The 40 SRES scenarios are classified into six groups. Jointly the scenarios span most
of the range of the scenarios in the literature. The emissions profiles are dynamic, ranging from continuous increases to those
that curve through a maximum and then decline. The coloured vertical bars indicate the range of the four SRES scenario fami-
lies in 2100. Also shown as vertical bars on the right are the ranges of emissions in 2100 of IS92 scenarios, and of scenarios from
the literature that apparently include additional climate initiatives (designated as “intervention” scenarios emissions range),
those that do not (“non-intervention”), and those that cannot be assigned to either of these two categories (“non-classified”).
"
WGIII_TAR_full_report.pdf,Figure 2.13 ,151,"Figure 2.13 shows the CO2 emission trajectories of the 76 post-
SRES mitigation scenarios along with the ranges of SRES and
"
WGIII_TAR_full_report.pdf,Figure 2.13:,151,"Figure 2.13: The 76 post-SRES stabilization scenarios of world fossil fuel CO2 emissions.  Different stabilization levels are indi-
cated by colour, with 750ppmv in red, 650ppmv in black, 550ppmv in blue, and 450ppmv in green. For comparison, the minimum
and maximum of the ranges of scenarios from the literature (grey) and the SRES (yellow) as well as the WRI and WRE 550ppmv
stabilization scenarios (bold black) are also shown.
"
WGIII_TAR_full_report.pdf,Figure 2.14 ,152,"Figure 2.14 shows the comparison of SRES and post-SRES
scenario ranges in total global CO2 emissions. The post-SRES
ranges are estimated based on the selected scenarios quantified
by SRES participants in order to compare the formal SRES
ranges in Nakicenovic et al. (2000). It is shown clearly in the
figure that concentration stabilization requires much more
reduction of CO2 emissions under development paths with high
emissions such as A1FI and A2 than under development paths
such as B1 and B2. These differences in reduction require-
ments result in selection of different technology and/or policy
measures and, as a consequence, different costs to stabilize
concentrations even at the same level. In the A1 scenario fam-
ily, with its different scenarios in technological development
(A1B, A1FI, and A1T), technological change is also a key
"
WGIII_TAR_full_report.pdf,Figure 2.14:,152,"Figure 2.14: Comparison of SRES and post-SRES scenario ranges in total global CO2 emissions. The post-SRES ranges are esti-
mated based on the selected scenarios quantified by SRES participants in order to compare SRES ranges. 
"
WGIII_TAR_full_report.pdf,Figure 2.15:,153,"Figure 2.15: Timing when the stabilization scenarios achieve a reduction of 20% of global energy-related CO2 baseline emis-
sions, compared across stabilization targets as well as baselines. Slanted lines join scenarios quantified by the same model.
"
WGIII_TAR_full_report.pdf,Figure 2.16 ,154,"Figure 2.16 shows that:
•
In the 450ppmv stabilization scenarios, the middle
range (between the 25th and 75th percentiles) of Annex
I emissions in 2010 lies between the Kyoto target and a
19% reduction from 1990 levels. This range increases
after 2010, as does the decrease in Annex I emissions
that would be needed to achieve stabilization at 450
ppmv. The percent reduction from 1990 levels in the
middle range of scenarios is 13%–34% in 2020 and
11%–52% in 2030;
•
In the 550ppmv stabilization scenarios, the middle
range of Annex I emissions in 2010 is around the Kyoto
target  (from an 11% decrease to a 5% increase from
1990 levels); in 2020, the middle range of emissions
lies between a 17% decrease and an 8% increase from
1990 levels; and in 2030, it lies between an 18%
decrease and an 8% increase from 1990 levels. The
average level of emissions slightly decreases after
2010; and
•
The 650 or 750ppmv stabilization scenarios show sim-
ilar changes in emission levels in 2010 compared to
1990, and few of them show any additional reduction in
Annex I emissions after 2010. The middle range of
emissions lies between an increase of 1%–17% from
1990 levels in 2020, and an increase of  4%–21% from
1990 levels in 2030.
"
WGIII_TAR_full_report.pdf,Figure 2.16:,154,"Figure 2.16: The reduction of energy-related CO2 emissions from 1990 levels in Annex I countries for stabilization at 450ppmv,
550ppmv, and 650–750ppmv. For each stabilization level, emission reductions are shown for the years 2010 (upper lines), 2020
(middle lines), and 2030 (lower lines).  Shaded areas show the range between the 25th and 75th percentiles of the frequency dis-
tribution of the scenarios.
"
WGIII_TAR_full_report.pdf,Figure 2.17 ,155,"Figure 2.17 shows that:
•
Assuming that all the CO2 reductions for concentration
stabilization are undertaken in Annex I countries, most
of the post-SRES scenarios indicate that per capita
Annex I emissions would fall below per capita non-
Annex I emissions in the 21st century. This situation
occurs before 2050 in two-thirds of the scenarios. Only
in the A1T or B1 worlds would per capita CO2 emis-
sions in developing countries remain below those of
developed countries in the 21st century. 
•
These timings are significantly affected by the time
series of emission reductions in the scenarios, and con-
sequently they diverge in the scenarios. However, com-
parison within individual models suggests that the
lower the stabilization level, the earlier that Annex I per
capita emissions fall below non-Annex I per capita
emissions. Stabilization scenarios based on higher
emission worlds such as A1FI and A2 also tend to show
earlier timing for Annex I to fall below non-Annex I per
capita emissions compared to scenarios based on the
lower emission worlds of B1 or A1T. This suggests that
the stabilization target and the baseline emission level
are both important determinants of the timing when
developing countries’ emissions might need to diverge
from their baseline emissions.
"
WGIII_TAR_full_report.pdf,Figure 2.17:,155,"Figure 2.17: Timing of when per capita CO2 emissions in Annex I countries would fall below per capita CO2 emissions in non-
Annex I countries, assuming that all CO2 emission reduction necessary for stabilization would occur in Annex I countries and
that non-Annex I countries would emit CO2 without any controls.  
"
WGIII_TAR_full_report.pdf,Figure 2.18:,156,"Figure 2.18: Response index to assess priority setting in energy intensity reduction (more than 1.0) or in carbon intensity reduc-
tion (less than 1.0) for all stabilization variants of post-SRES scenarios in 2020, 2050, and 2100.
"
WGIII_TAR_full_report.pdf,Figure 2.19:,157,"Figure 2.19: An equity index to compare per capita final energy use (GJ/capita) between the Annex I (pink) and non-Annex I
(blue) countries for all post-SRES (550ppmv stabilization) and SRES (baseline) variants from 1990 to 2100. Climate policy has
a much smaller impact on equity in energy use than does choice of development path. This can be seen by comparing the change
in energy use within each of the four worlds (i.e., between the baseline and the 550ppmv stabilization for each world) with the
change among the worlds (i.e., across the baselines or across the 550ppmv stabilization).
"
WGIII_TAR_full_report.pdf,Figure 3.1:,172,"Figure 3.1: World primary energy use per region 1971 - 1998.
Note: Primary energy calculated using the IEA’s physical energy content method based on the primary energy sources used to produce heat and
electricity (IEA, 2000).
"
WGIII_TAR_full_report.pdf,Figure 3.2:,173,"Figure 3.2: World CO2 emissions by region, 1971 - 1998.
"
WGIII_TAR_full_report.pdf,Figure 3.3:,182,"Figure 3.3: Total net resource flows to aid recipient countries.
"
WGIII_TAR_full_report.pdf,Figure 3.4:,187,"Figure 3.4: Primary energy use in the buildings sector, 1971-1995.
"
WGIII_TAR_full_report.pdf,Figure 3.5:,191,"Figure 3.5: World transportation energy use, 1973 and 1996.
"
WGIII_TAR_full_report.pdf,Figure 3.6:,192,"Figure 3.6: World transport energy by mode, 1996.
"
WGIII_TAR_full_report.pdf,Figure 3.7:,192,"Figure 3.7: Growth of world motor vehicle population, 1946-
1996.
"
WGIII_TAR_full_report.pdf,Figure 3.8:,192,"Figure 3.8: Weighted average fuel consumption of new pas-
senger cars.
"
WGIII_TAR_full_report.pdf,Figure 3.9:,196,"Figure 3.9: Life cycle CO2-equivalent greenhouse gas emis-
sion estimates for automobile body materials.
"
WGIII_TAR_full_report.pdf,Figure 3.10:,201,"Figure 3.10: Passenger car fuel economy cost curves.
"
WGIII_TAR_full_report.pdf,Figure 3.11:,206,"Figure 3.11: Development of industrial energy use in terms of primary energy (direct fuel use and indirect fuel use in power
plants) in the different world regions. Data from Price at al, 1998, 1999.
"
WGIII_TAR_full_report.pdf,Figure 3.12:,208,"Figure 3.12: Development of the primary energy demand per unit of production in the pulp and paper industry (PPI-p) in OECD
countries.
"
WGIII_TAR_full_report.pdf,Figure 3.13a-,218,"Figure 3.13a-b: Relative levels of energy efficiency for selected industrial sectors in various countries. The aggregate energy
efficiency index (EEI) is calculated as:
EEI = (Σi Pi ·SECi)/( Σi Pi · SECi,BP),
where Pi is the production volume of product i; SECi is the specific energy consumption for product i, and SECi,BP is a best-prac-
tice reference level for the specific energy consumption for product i. By applying this approach a correction is made in order to
account for structural differences between countries in each of the tracked industrial sectors. A typical statistical uncertainty for
these figures is 5%. Because of statistical errors higher uncertainties may occur in individual cases.
"
WGIII_TAR_full_report.pdf,Figure 3.13c -,219,"Figure 3.13c - d: Relative levels of energy efficiency for selected industrial sectors in various countries. The aggregate energy
efficiency index (EEI) is calculated as:
EEI = (Σi Pi ·SECi)/( Σi Pi · SECi,BP),
where Pi is the production volume of product i; SECi is the specific energy consumption for product i, and SECi,BP is a best-prac-
tice reference level for the specific energy consumption for product i. By applying this approach a correction is made in order to
account for structural differences between countries in each of the tracked industrial sectors. A typical statistical uncertainty for
these figures is 5%. Because of statistical errors higher uncertainties may occur in individual cases.
"
WGIII_TAR_full_report.pdf,Figure 3.13e:,220,"Figure 3.13e: Relative levels of energy efficiency for selected industrial sectors in various countries. The aggregate energy effi-
ciency index (EEI) is calculated as:
EEI = (Σi Pi ·SECi)/( Σi Pi · SECi,BP),
where Pi is the production volume of product i; SECi is the specific energy consumption for product i, and SECi,BP is a best-prac-
tice reference level for the specific energy consumption for product i. By applying this approach a correction is made in order to
account for structural differences between countries in each of the tracked industrial sectors. A typical statistical uncertainty for
these figures is 5%. Because of statistical errors higher uncertainties may occur in individual cases.
"
WGIII_TAR_full_report.pdf,Figure 3.14:,224,"Figure 3.14: Energy use in the agricultural sector from 1971 to 1995.
"
WGIII_TAR_full_report.pdf,Figure A3.1:,284,"Figure A3.1: Estimated global consumption of CFCs, halons, HCFCs, and HFCs (McFarland, 1999).
"
WGIII_TAR_full_report.pdf,Figure 4.1:,306,"Figure 4.1: Evolution of approaches to carbon sequestration
in terrestrial ecosystems. Previous assessments (e.g., IPCC,
1996) tended to focus on ecological processes and potentials,
and treated economic and social factors as constraints (A).  A
slightly different viewpoint considers the three dimensions as
mutually reinforcing and seeks to maximize the overlaps (B).
"
WGIII_TAR_full_report.pdf,Figure 4.2:,308,"Figure 4.2: Different ecosystems, their components, and human activities. The carbon stocks associated with the different ecosystems
are stored in aboveground and belowground biomass, detrital material (dead organic matter), and soils. Carbon is withdrawn from
the atmosphere through photosynthesis (vertical down arrow), and returned by oxidation processes that include plant respiration,
decomposition, and combustion (vertical up arrow). Carbon is also transferred within ecosystems and to other locations (horizontal
arrows). Both natural processes and human activities affect carbon flows. Mitigation activities directed at one ecosystem component
generally have additional effects influencing carbon accumulation in, or loss from, other components. Estimates of ecosystem and
atmospheric C stocks are adapted from Bolin et al. (2000). Values for C stocks in some ecosystems are still very uncertain. Not shown
are estimates of C stocks in tundra (127GtC), deserts and semi-deserts (199GtC), and oceans (approx. 39,000GtC) (numbers are taken
from Special Report on LULUCF, Fig 1-1, page 30; IPCC, 2000a).
"
WGIII_TAR_full_report.pdf,Figure 4.3:,309,"Figure 4.3: An example of net changes in ecosystem carbon stocks over time. Changes in individual ecosystem components take place
at different rates, but it is the net of the changes in all interconnected pools that determines the net flow to or from the atmosphere. In
the example, the accumulation of biomass initially is at a lower rate than the decomposition of the dead organic matter stock so the
stock of ecosystem C declines.  Later in the cycle, dead organic matter stocks may increase, although other components have reached
a steady state. Maximum ecosystem stocks (highest value of ecosystem C) occur at a later time than the maximum rate of net carbon
uptake (steepest slope of the ecosystem C  line).
"
WGIII_TAR_full_report.pdf,Figure 4.4:,311,"Figure 4.4: Indicative figure displaying historical changes in
land use in three world regions. The presented values should
not be taken as absolute, because the historical evidence is
often only anecdotal (Mather, 1990; Kauppi et al., 1992; Palo
and Uusivuori, 1999; Farrell et al., 2000).
"
WGIII_TAR_full_report.pdf,Figure 4.5:,314,"Figure 4.5: Conceptual model of soil organic matter decom-
position and accumulation following disturbance (after
Johnson, 1995; IPCC, 2000a). At steady state (I), carbon (C)
inputs from litter (L) equal C losses via decomposition (D)
(i.e., L/D = 1). After a disturbance, D often exceeds L resulting
in loss of C (II), until a new, lower steady state is reached (III).
Adoption of new management, where L exceeds D results in a
re-accumulation of C (IV) until a new, higher steady state is
reached (V). The eventual steady state (A, B, or C) depends on
the new management adopted.
"
WGIII_TAR_full_report.pdf,Figure 4.6:,317,"Figure 4.6: Cumulative carbon changes for a scenario involving afforestation and harvest. These are net changes in that, for
example, the diagram shows savings in fossil fuel emissions with respect to an alternative scenario that uses fossil fuels and alter-
native, more energy-intensive products to provide the same services (adapted from Marland and Schlamadinger, 1999).
"
WGIII_TAR_full_report.pdf,Figure 4.7:,318,"Figure 4.7: Indications of the magnitude of the carbon sink in case study countries for a set of forest management measures
(MtCO2eq, adapted after Nabuurs et al. 2000). The values for the three bars for Iceland are 2.6, 2.8, and 2.9, respectively. The
figure is based on the forest part of the model “Access to Country Specific Data” (ACSD). It was designed to provide insight into
the potential magnitude of carbon sequestration that may be achieved when alternative sets of management measures are adopt-
ed. Therefore, the exact numbers provided in this figure result from the assumptions chosen for a certain set of measures. The
estimates in this figure are tentative and only illustrative. In these studies all forestry activities under discussion were included,
but applied on average on some 10% of mostly the exploitable forest area.
"
WGIII_TAR_full_report.pdf,Figure 4.8:,320,"Figure 4.8: Relative importance of each of the 10 forest management alternatives in the total potential sequestration as given in
Figure 4.7. These data give an indication of opportunities and do not necessarily represent national plans. For example, silvi-
cultural practices in Japan generally do not accompany fertilization and the figure for Japan is probably an overestimate.
Nevertheless it shows that opportunities vary among countries because of both the national situation, the mix of current forestry
practices, and/or the historic management. One common recommendation of which measures would yield the largest carbon
sequestration can therefore not be given (adapted from Nabuurs et al., 2000).
"
WGIII_TAR_full_report.pdf,Figure 4.9:,330,"Figure 4.9: Indicative curves of costs (US$/tC, cost of US$28/tC is equivalent to US$100 per tonne of CO2) of emission reduc-
tion or carbon sequestration by level of total reduction. The curves display how comparable options vary in costs between world
regions. However, costs per option are also reported to vary widely at comparable total levels of reduction. This is mainly
because cost studies have not been carried out in the same way. In some options net monetary profit may occur as well (i.e., costs
may be negative as well) (Brown et al., 1996a, Hol et al., 1999; Jepma et al., 1997; Sedjo et al., 1995). 
"
WGIII_TAR_full_report.pdf,Figure 5.1:,349,"Figure 5.1: Penetration of Environmentally Sound Technologies: A Conceptual Framework: Various barriers prevent the different potentials
from being realized. Opportunities exist to overcome barriers through innovative projects, programmes and financing arrangements. An action
can address more than one barrier. Actions may be pursued to address barriers at all levels simultaneously. Their implementation may
require public policies, measures and instruments. The socioeconomic potential may lie anywhere in the space between the eco-
nomic and technological potential.
"
WGIII_TAR_full_report.pdf,Figure 5.1 ,356,"Figure 5.1 provides illustrative examples of the barriers that
separate one potential from another. Actions to overcome these
barriers need not necessarily take place in the order of the
potentials. R&D could take place to approach the technical
potential at the same time that institutional and subsidy reforms
are being carried out to approach the socioeconomic and eco-
nomic potentials respectively. While the figure denotes a hier-
archy in terms of the potentials, there is no hierarchy in the
interventions that might be pursued to overcome the barriers.
Furthermore, an intervention may overcome more than one
barrier that need not be in a hierarchical order either, e.g., the
provision of information could address all categories of barri-
ers. 
"
WGIII_TAR_full_report.pdf,Figure 6.1:,420,"Figure 6.1: Aggregated results of manufacturing industry LTAs and statistics.
"
WGIII_TAR_full_report.pdf,Figure 7.1 ,462,"Figure 7.1 illustrates the generation of ancillary benefits to
GHG emission reduction policies.4 These policies operate
through the economic and institutional system within a country
and lead to reductions in GHGs, changes in other pollutants,
and mitigation costs. Changes in GHG emissions in turn lead
to changes in air and water pollution, which ultimately extend
throughout the environment and feed back into the economy.
Then, depending on baseline conditions, technologies, and
institutions, such as labour markets, tax systems, and existing
environmental and other types of regulations (represented by
“institutions” in the economic system box), these feedbacks
may become:
•
environmental impacts (such as the value of changes in
conventional air or water pollution);
•
non-environmental impacts (such as the value of
employment effects); and, 
•
direct climate change impacts.
"
WGIII_TAR_full_report.pdf,Figure 7.1:,462,"Figure 7.1: Mechanism for the
Generation of Ancillary Impacts.
Please note that climate change
impacts are not discussed in this
report, but in the Third Assessment
Report of Working Group II.
"
WGIII_TAR_full_report.pdf,Figure 7.2:,472,"Figure 7.2: Greenhouse gas emission profiles of different base-
line case approaches.
"
WGIII_TAR_full_report.pdf,Figure 7.3 ,476,"Figure 7.3 illustrates the production frontier (F) of an economy
that shows the trade-off between economic activity (Q) and
emissions reduction (E). Each point on the curve shows the
maximum level of emissions reduction for a given level of eco-
nomic activity. The economy is producing composite goods,
namely an aggregation of all goods and services Q and envi-
ronmental quality E, which here represent GHG emissions.
Given such an assumption it is possible to construct a curve
"
WGIII_TAR_full_report.pdf,Figure 7.3:,476,"Figure 7.3: Trade-off between emissions reduction and eco-
nomic activity.
"
WGIII_TAR_full_report.pdf,Figure 7.4 ,493,"Figure 7.4 illustrates the different target-setting principles.
Target setting related to base-year emissions compares the
GHG emissions level in the “dotted” line base-year emissions
and GHG emissions reduction case 2. In contrast, target setting
in relation to future GHG emissions compares the baseline case
line and GHG emission reduction case 1. 
"
WGIII_TAR_full_report.pdf,Figure 7.4:,493,"Figure 7.4: Baseline cases and target setting for GHG emis-
sions reduction.
"
WGIII_TAR_full_report.pdf,Figure 8.1:,507,"Figure 8.1: A typical cost curve.
"
WGIII_TAR_full_report.pdf,Figure 8.2:,509,"Figure 8.2: Country results with bottom-up studies using a crosscutting instrument.
"
WGIII_TAR_full_report.pdf,Figure 8.3:,514,"Figure 8.3: Carbon taxes and the costs of environmental poli-
cies.
"
WGIII_TAR_full_report.pdf,Figures ,515,"Figures 8.4-a to 8.4-d show the incremental cost of reducing a
ton of carbon for alternative levels of CO2 reductions in the
USA, OECD Europe, Japan, and Other OECD countries
(CANZ) when all reductions are made domestically. Note there
are two differences with the B-U studies:
•
these numerical experiments do not consider negative
cost abatement potentials and presume that if an action
is economically justifiable in its own right, it will be
undertaken independent of climate-related concerns;
and
•
because they incorporate demand elasticity and multi-
ple macroeconomic feedback, these marginal cost
curves do not behave as those found in the B-U studies.
"
WGIII_TAR_full_report.pdf,Figure 8.4:,516,"Figure 8.4: Incremental cost (US$/tC) by regions.
"
WGIII_TAR_full_report.pdf,Figure 8.5 ,517,"Figure 8.5 plots the range of the numerical findings for a wide
set of countries. In comparison with the previous results, these
findings are far more optimistic. This confirms the theoretical
results that the gross costs of meeting given abatement targets
can be significantly reduced by using the revenue of carbon
taxes to finance cuts in the existing distortionary taxes, instead
of returning the revenues to the economy in a lump-sum fash-
ion. Only a few studies provide results that allow for a system-
atic assessment of the attractiveness of payroll recycling
through comparing its welfare implication with that of lump-
sum recycling. For Norway, Håkonsen and Mathiesen (1997)
use a static computable general equilibrium (CGE) model to
"
WGIII_TAR_full_report.pdf,Figure 8.5:,517,"Figure 8.5: Welfare variation with recycling through payroll taxes reduction.
"
WGIII_TAR_full_report.pdf,Figure 8.6:,518,"Figure 8.6: Variation in employment.
"
WGIII_TAR_full_report.pdf,Figure 8.7:,519,"Figure 8.7: Welfare variation with different recycling policies.
"
WGIII_TAR_full_report.pdf,Figure 8.8:,525,"Figure 8.8: Conceptual framework for analyzing ancillary and co-benefits and costs.
"
WGIII_TAR_full_report.pdf,Figure 8.9 ,526,"Figure 8.9 summarizes the ancillary benefits per tonne of car-
bon from 15 studies, along with available confidence intervals
around the mid estimate. Multiple entries for a study on the
Figure result from modelling of multiple policy scenarios.
Most of the studies focus solely on public health impacts.
"
WGIII_TAR_full_report.pdf,Figure 8.9:,532,"Figure 8.9: Summary of ancillary benefits estimates in 1996 US$/tC.
"
WGIII_TAR_full_report.pdf,Figure 8.10 ,533,"Figure 8.10 provides ancillary benefits per tonne estimates
related to the size of the carbon tax (in 1996 US$/tC). Points on
the diagonal line AB = MC indicate that marginal private mit-
igation costs (MC) equate to the tax. Some points fall on this
line; more appear above it than below, with the
Norwegian/Western Europe and the US studies split. If the
damage (benefit) function is linear, then average benefits
equate marginal benefits. Thus, points on the diagonal imply
that the carbon tax is “quasi-optimal” (Dessus and O’Connor,
1999), in that the tax is optimal without considering either the
direct climate mitigation benefits or any social costs over pri-
vate costs (such as deadweight losses from the tax interaction
effect). Alternatively, it can be assumed that the private miti-
gation cost function is quadratic (Total Cost=b(X2)), where X
is carbon reduction. In this case, the tax rate equals marginal
private mitigation cost and average private mitigation cost is
half marginal private mitigation cost. The heavy diagonal line
equates ancillary benefits to average private mitigation cost.
Points above this line imply there are net benefits to carbon
policy, with the same important caveats as above. More points
appear above the corresponding line (AB=AC) on the graph
than above the AB=MC line.
"
WGIII_TAR_full_report.pdf,Figure 8.10:,533,"Figure 8.10: Ancillary benefits in 1996 US$/tC versus levels of carbon tax.
"
WGIII_TAR_full_report.pdf,Figure 8.11 ,540,"Figure 8.11 shows the incremental value of carbon emission
for the two groups and compares them with that of full Annex
I trading. Notice that for the USA, the tax is lower in the case
of the “double bubble” than with Annex I trading. The reason
is that without the EU bidding for the Russian “hot air”, the
demand for emission quotas falls as does its price. The EU on
the other hand is disadvantaged under such a scenario. With
their access to low cost emission quotas limited, the incremen-
tal value rises.
"
WGIII_TAR_full_report.pdf,Figure 8.11:,541,"Figure 8.11: The double bubble.
"
WGIII_TAR_full_report.pdf,Figure 8.12:,545,"Figure 8.12: Alternative pathways to stabilization.
"
WGIII_TAR_full_report.pdf,Figure 8.13:,546,"Figure 8.13: Costs of stabilizing concentrations at 550ppmv; discounted to 1990 at 5%
"
WGIII_TAR_full_report.pdf,Figure 8.14:,547,"Figure 8.14: Rate of departure from the baseline corresponding to least-cost mitigation pathway for a 550ppmv stabilization tar-
get.
"
WGIII_TAR_full_report.pdf,Figure 8.15:,547,"Figure 8.15: Relationship between present discounted costs for stabilizing the concentrations of CO2 in the atmosphere at alter-
native levels.
"
WGIII_TAR_full_report.pdf,Figure 8.17 ,548,"Figure 8.17 clarifies the results by converting the absolute
reduction to a percent reduction basis and averages them for
the two classes of models. LTCM models show clearly a more
gradual departure from the emissions baseline. Figure 8.17
"
WGIII_TAR_full_report.pdf,Figure 8.16:,548,"Figure 8.16: Reductions in carbon emissions for the SRES A1B 550 case.
"
WGIII_TAR_full_report.pdf,Figure 8.17:,548,"Figure 8.17: Time path of emissions reductions.
"
WGIII_TAR_full_report.pdf,Figure 8.18 ,549,"Figure 8.18 shows the relationship between the relative GDP
reduction, the scenario group, and the stabilization level in
2050. The reduction in GDP tends to increase with the strin-
gency of the stabilization target. But the costs are very sensi-
tive to the choice of baseline scenario. The maximum relative
reduction occurs in the A1FI scenario group, followed by the
other A1 scenario groups and the A2 group, while the mini-
"
WGIII_TAR_full_report.pdf,Figure 8.18:,549,"Figure 8.18: Global average GDP reduction in 2050 for alternative stabilization targets and six SRES reference scenarios.
"
