image_id,l1_l4_vector,keyword_vector,domain,chart_type,views,clarity,complexity,mean_rating,sentence_count
2276,"[0, 0, 2.0, 1.0]","[2, 0, 0, 0, 3, 2]",Climate Science,Line Chart,composite views,Low Clarity,High Complexity,2.5,3
2289,"[2, 2, 2.0, 0.0]","[5, 0, 9, 1, 4, 12]",Climate Science,Bar Graph,composite views,Low Clarity,High Complexity,3.0,6
2293,"[0, 0, 2.0, 2.0]","[6, 0, 2, 2, 6, 4]",Climate Science,Line Chart,composite views,Low Clarity,High Complexity,2.5,4
2300,"[2, 1, 5.0, 2.0]","[6, 3, 3, 2, 9, 10]",Climate Science,Line Chart,composite views,Low Clarity,High Complexity,3.0,11
2327,"[0, 0, 4.0, 0.0]","[1, 0, 4, 0, 7, 6]",Energy,Line Chart,composite views,Low Clarity,High Complexity,2.5,4
2348,"[3, 0, 0.0, 1.0]","[1, 0, 2, 0, 4, 6]",Climate Science,Line Chart,composite views,Low Clarity,High Complexity,2.0,4
2354,"[0, 0, 2.0, 2.0]","[2, 0, 3, 1, 2, 5]",Energy,Line Chart,composite views,High Clarity,High Complexity,2.0,4
2356,"[1, 0, 2.0, 2.0]","[8, 1, 8, 1, 4, 5]",Energy,"Line Chart,Heat Map",composite views,Low Clarity,High Complexity,4.5,5
2357,"[2, 0, 1.0, 1.0]","[0, 0, 0, 0, 4, 7]",Energy,Scatter Plot,composite views,Low Clarity,High Complexity,3.0,4
2360,"[1, 1, 0.0, 4.0]","[2, 5, 7, 0, 11, 4]",Energy,Line Chart,composite views,Low Clarity,High Complexity,3.0,6
2364,"[2, 0, 0.0, 2.0]","[6, 1, 1, 1, 3, 3]",Climate Science,Line Chart,composite views,Low Clarity,High Complexity,3.0,5
1845,"[1, 2, 0, 0]",,Energy,Line Chart,single view,High Clarity,High Complexity,3.0,5
1949,"[1, 0, 0, 0]",,Energy,Line Chart,single view,Low Clarity,High Complexity,2.0,3
2028,"[2, 1, 0, 0]",,Climate Science,Line Chart,single view,High Clarity,High Complexity,3.5,3
1749,"[3, 1, 0, 1]",,Climate Science,"Bar Graph,Scatter Plot",composite views,High Clarity,Low Complexity,2.0,5
