semantic_level,sentence
4,"In Asian countries for example, the vast majority of binge watchers are single, while people that have partners don't binge watch that much."
4,"On the opposite side, Latin countries like Spain, Mexico and Chile have more-or-less equal distributions of binge watchers."
2,Mexico even has more partner binge-watchers than alone binge-watchers.
3,Most countries binge-watch alone.
4,Latin countries prefer to binge-watch with a partner.
3,It looks like the relation between binge watching changes according to whether or not someone is watching alone or with a partner.
3,"Generally, people in most places binge watch a lot more when they are alone than when they are in the company of another person."
2,"The biggest gap is found in Japan, where 80% of binge watching occurs when people are alone, against a 21% of accompanied watchers."
3,"However, Spain and Mexico experience the opposite phenomenon: binge watching happens more when people have company than when they are alone."
3,"The percentages sometimes add up to over one hundred, so it can be inferred that some people who watch alone also watch with partners."
3,"It appears that the more people in a country prefer to watch alone, the less they watch with partners."
2,"Japan has the highest alone watching rate and the lowest partner watching rate, while Mexico has the lowest alone watching rate and the highest watching with partner rate."
3,"In most countries, the percentage adds up to more than 100%, meaning that there are people who binge watch both alone and with partner."
3,"In most countries, binge watching is preferred alone."
4,"Japan, South Korea and China have the highest rates of binge watching alone, perhaps due to the anime trends that are very popular there."
4,"The top few countries are all Asian, this might be because due to the restrictions on international sites (such as Netflix), they are encouraged to watch their own sites."
4,"The first few being Asian might also be because it is not considered a negative to watch TV alone, whereas in places like USA watching lots of TV might have a negative connotation."
4,The top countries are also quite wealthy meaning the average individual can afford their own TV set or computer.
1,A vertical bar chart entitled “Lethal Force: Number of people who have died as a result of police action or while in police custody in South Africa”.
1,The Number of people is plotted on the vertical y-axis from 0 to 800.
1,The Years are plotted on the horizontal x-axis from 1998-99 to 2010-11.
2,The highest number of people to be abused by the South African police force was between 2010-2011 with around 800 victims.
2,The year with the fewest number of people was 2002-2003 with an estimated 330 victims.
3,"After the years 1998-1999, where around 590 individuals suffered, the abuse steadily declined up until 2003."
3,It remained relatively low between 2002 and 2005.
3,"After that, it steadily increased to around 605 victims in 2009, ultimately reaching their highest 800 victims between 2010-2011."
4,"In contrast, the American cops killed 215 white people in 2020 in comparison to the whopping 457 white people dead in 2017."
4,"Surprisingly, 223 black people were killed in 2017 and only 111 recorded this year in 2020."
3,The number of people who died as a result of police action or while in police custody has decreased from 1999-2003.
3,"In 2004-2005, the numbers have shown a slight increase from previous years but then lowers again in 2006."
3,After 2007 the numbers have increased steadily surpassing the numbers from 10 years before.
2,The chart shows more people have died by police action in the 2010-2011 range than any other year range.
4,The number of people who have died by police action has shown that South Africa has either a growing violence problem or a policing problem.
2,The number of deaths peaked in 2010-2011.
3,The amount of deaths was fairly stable between 2000 and 2007 The amount of deaths was trending downwards from 1998-to around 2007 but seems to be trending back up after 2007.
2,The lowest year for deaths was 2002-2003.
3,The number of people who have died due to lethal police force has been rising for the past 8 years.
1,The chart shows the number of people killed and years when that happened.
3,It varies over the years and starts to increase in the 2010-2011 period.
3,The number of deaths have increased significantly since the 2005-2006 period.
2,Deaths reached a record high in the 2010-2011 period.
2,Deaths were at an all-time low in the 2002-2003 period.
3,Deaths were steadily decreasing over time since the 1997-1998 period until before 2003-2004.
3,"After 2003-2004, deaths have spiked again."
3,The number of people dying as a result of lethal force (consequence of police action/custody) dipped at the beginning of the 21st century but has returned to and surpassed end-of-20th century levels for the past couple of years of the chart shown.
3,The deaths had started with a descending trend.
3,"Around 2002-2006, the numbers of deaths had fallen considerably lower than the other years."
3,"After 2006, there has been a general rise in the number of deaths every year."
3,"2010-2011 saw an ""exponential"" rise in deaths in comparison to other periods."
3,2008-2009 was the first period with a new record in deaths since 1998-1999.
2,The highest number of people that died is around 800 in 2010-2011.
2,The lowest number of people that died is around 300 in 2002-2003.
3,The number of people who died as a result of police action seemed to be falling between '98 and '03 however after 03 the number begins to increase.
3,"The number of people who died in '10-'11 is the highest number in the data set, it also shows the highest increase rate from the previous year."
3,Twice as many people were killed (per year) in '10-'11 than in the years '01-'05.
1,A vertical grouped bar chart entitled “Decrease in Mortality Rate of Adult Males and Females Over a Quarter Century”.
1,The y-axis plots the Adult Mortality Rate (per 1000 Adults) from 0 to 600 with an increment of 50.
1,The x-axis shows repeating bar-pairs for the years 1990 and 2015 by country and demographic (male or female).
3,There is an overall decrease in the mortality rate within all countries.
4,"Rwanda has seen the biggest decrease, possibly due to improvements in the country's politics and social relations."
3,In Rwanda the mortality rate of males and females has greatly decreased.
3,Overall the mortality rate of males is higher than the rate of females.
4,Decrease in mortality rate of both genders can be explained by increase of human prosperity and development of medicine and technology.
2,The lowest mortality rate in 2015 for both males and females was in China.
3,Rwanda had the largest decrease in the mortality rate for both males and females and yet still has the highest male mortality rate.
3,Rwanda has seen the biggest decrease in its mortality rate for both male and female (60 and 65%) between 1990 and 2015 but its rate in 2015 are still the highest of the countries presented in the data (more than 200 for male and around 180 for female).
2,In India and Bangladesh female mortality has decrease of a higher percentage (around 40%) when male mortality has only decrease by almost half the percentage (23%).
2,"On the other hand, in the United State female mortality has only decreased by 11% when male mortality has decreased by the double amount with 22%."
2,China presents similar decrease rate of 36% for male and 38% for female.
2,Rwanda has the highest decrease in mortality rate and the United States has the lowest decrease in mortality rate.
3,Every country's adult mortality rates for both males and for females have decreased over the course of 25 years from 1990 to 2015.
3,"For all countries except the USA, this is more marked among females than males."
3,"In the USA, this is the reverse, and the mortality rate among males has dropped at double the rate than among females."
3,"Of the countries shown, Rwanda's death rate was particularly high for both males and females, but has dropped considerably for both, putting its mortality rate on a par with the other countries."
3,Overall Mortality rates have fallen over a quarter century.
3,Mortality rate in women has fallen more than male mortality rate in majority of countries (all except the United States).
2,"Mortality rate tends to decrease from 1990 to 2015 for Rwanda followed by India, Bangladesh, USA and China with the lowest mortality rate."
2,The decrease in adult mortality rate is the most notable in Rwanda.
3,The decrease in adult morality is higher for females in every country except the United States.
3,In all data sets it is clear adult mortality decreased in general between 1990 and 2015.
4,The mortality rates decreases and the percentages are lower in countries such as USA and China where they have advanced healthcare.
4,Bangladesh and India percentages are roughly the same even though their populations are vastly different.
4,Bangladesh and India male percentages are exactly the same even though India has far more people in their country.
4,"We can see that from 1990 to 2015 almost in every country the number of deaths per 1000 people falls down, that could be due to the advanced healthcare."
3,The decrease increases with the number of years presented for every country.
3,Rwanda had the biggest decrease but still the highest rate.
3,"Generally, more males die than females."
2,The USA had the smallest decrease in mortality rate.
2,China has the lowest mortality rate of any country.
1,"A horizontal bar chart entitled “US change in median net worth by four-year college degree status” that plots the change in median net worth by demographic (White, Asian, Hispanic, Black) and whether Degreed or No Degree."
2,Asian people tends to have the most negative change with No Degree and also the greatest positive change with a Degree.
2,White people have the least change for both categories (No Degree and Degreed).
2,Hispanic people have the most negative change for the Degreed category.
2,"Asian people have the highest percent change of people who finished the degree with the +5.1%, but they have the large negative percent change for people who have No Degree, at -65.3%."
2,"Hispanic people have the largest negative change for people who have a Degree, at -71.9%, and a significant negative change for people with No Degree, -41.2%."
2,"Black people who have No Degree are at -37.3%, and a negative change -59.7% for people with a Degree."
2,"White people have a negative change of -16% for people who have a Degree, and a negative percent change of -32.9% for people who have No Degree."
4,The median net worth before and after the degree has some astonishing results.
2,"For a white person with no degree and after degree change in worth is 16% but still, the net worth is negative."
3,"For Hispanic people, the degreed net worth is even less as compared to the non-degree, where a further 30% reduction in net worth is observed."
3,A similar trend is observed for black people as well: there was a 22% reduction in median net worth.
3,"But only for Asian people a 5% of positive change was observed for people with a degree, whereas a non-degree Asian person's net worth was -65%."
3,"Amongst all the population demographics, only Asian Degreed has a positive median net worth change."
2,Asian No Degree has the 2nd highest negative value.
2,"Both No Degree and Degreed for Hispanic people has some of the largest negative values, with Hispanic Degreed being the largest negative value."
2,Both No Degree and Degreed for White people has the smallest negative values.
2,Median net worth for white people with no degree decreased by -32%.
2,Median net worth for Asian people with no degree decreased by -65.3%.
3,"Overall, there is a decrease in median net worth for all people (with a Degree or with No Degree), except for Asian people with a Degree, for whom there is an increase in median net worth of 5.1%"
3,Median net worth of white people seems to be less affected by lack of 4 year college degree status.
3,"Asian people with high college degree benefit more than anyone in US in median net worth, and Asian people without college degree have the lowest median net worth value of all available."
3,"Black and Hispanic people without a 4 year college degree have much higher median net worth change than the same people with a degree, but still lower than white people without a degree."
3,The only demographic with positive change in net worth is Asian.
2,For Hispanic and Black population the net worth change is lower when degreed.
2,"White people are the ones with the lowest percentage of no degree, then Black people follow, then Hispanic people, and lastly Asian, who have an increase in median net worth with a percentage of 5.1 for people with degrees."
3,The only increase in median net worth is Asian people with a degree.
2,Hispanic people with degree had the highest negative change.
2,White people with no degree had the smallest change from all the groups.
3,Every group with no degree has a negative median net worth change.
2,Asian people have the biggest difference in change in median net worth depending on having a degree or not.
2,White people have the smallest difference in change in median net worth depending on having a degree or not.
2,White people have the highest change in median net worth without a degree.
2,Asian people have the lowest change in median net worth without a degree.
2,Asian people have the highest change in median net worth with a degree.
2,Hispanic people have the lowest change in median net worth with a degree.
3,White and Asian people with a degree have a more positive change in median net worth.
3,Black and Hispanic people with a degree have a more negative change in median net worth.
1,An illustrated bar chart entitled “The Influx of Opioid Pills and the Surge in Overdoses in West Virginia” that plots the number of pills per person and the number of overdoses by Year.
1,The Number of pills per person is plotted on the vertical y-axis from 0 to 90.
1,The number of opioid overdoses is represented by each red pill equaling 10 opioid overdoses.
1,The Year is plotted on the horizontal x-axis from 2006 to 2011.
3,The increase of opioid drugs doesn't seem to have a consistent relationship to the number of overdoses.
4,There are probably other socio-economic factors that need to be considered when looking into the reasoning behind this study.
3,On average there has been a steady increase in both the number of opioid pills per person and the number of opioid overdoses.
3,"2009 is the exception, where the overdoses are lower even as the number of opioid pills per person continued to increase."
2,"The greatest number of opioid overdoses occurred in 2011, which also had the greatest number of pills per person."
3,"While there is a steadily increasing trend in opioid overdoses, there was a dip in 2009, which say fewer overdoses despite the number of opioid pills per person increasing."
2,The maximum number of opioid pills per person appears in 2011 and the lowest in 2004.
2,"There is a steady increase in the amount of Opioid pills being taken in West Virginia, and there is a steady increase in the amount of overdoses in West Virginia."
2,"In 2009, there was a slight decrease in overdoses within West Virginia compared to 2010."
4,"In 2010, there was a large increase in overdoses in West Virginia - this could be due to changes in drug creation."
2,"By 2011, a large percentage of people taking Opioid pills are overdosing compared to those who are not."
3,The number of opioid overdoses dipped in 2009 on what seems to be a general overall trend each year of an increase of opioid overdoses per year.
2,"For example, there were 200 opioid overdoses in 2006-2007, 300 in 2008, outlier drop to 150 in 2009, back up to 400 in 2010, and 500 in 2011."
3,"The number of pills per person prescribed has a flatter but upward/increasing trend, from ~42 pills per person in 2006 to ~48 in 2007, ~56 in 2008, ~58 in 2009 and 2010, and ~61 in 2011."
3,"The number of overdoses seems to be in the same upward direction but starker than the prescribing rate, with the 2009 dip in overdoses as an outlier."
2,The pills per person trend is overall increasing.
3,"The overdose trend is also generally increasing, but more volatile."
2,The overdoses were at their lowest in 2009.
2,The overdoses were at their highest in 2011.
2,The number of overdoses/pills ratio was the lowest in 2009.
2,The number of overdoses/pills ratio was the highest in 2011.
2,There is an increasing pattern in the number of pills per person.
3,Overall we can say that there is an increasing pattern in the number of overdoses per year (the only exception is the year 2009).
2,"Overall it seem that there is a positive correlation between the number of opioid pills per person and the number of overdoses per year (again, the only exception is the year 2009)."
2,The lowest number of overdoses was registered in 2009.
2,The highest number of overdoses was registered in 2011.
3,Between 2009 and 2010 was a big jump of overdoses.
2,2006 was the year with the lowest number of pills per person.
2,2009 and 2011 were the years with the highest number of pills per person.
3,"Even though 2009 was a year with one of highest number of pills per person, the number of opioid overdoses was the lowest."
2,2011 was the year with the highest number of opioid overdoses.
3,"After 2007, the number of pills per person every year seems stable."
3,"Except for 2009, the number of opioid overdoses grows higher every year."
2,The number of opioid overdoses seems correlated with the number of pills per person (with the exception of 2009).
4,"The number of opioid overdoses could be related to the fact that each year, people are more stressed due to other societal factors (unemployment, for example)."
1,A line plot that plots the difference from the base precision (%) by iteration.
1,The difference from base precision (%) is plotted on the vertical y-axis from -30 to 0.
1,The iteration is plotted on the horizontal x-axis from 0 to 10.
2,More iterations implies a more negative percent difference from base precision.
3,"There is a small increase bump after 6 iterations, but it continues to descend afterwards."
2,The difference from the base precision decrease with a higher number of iterations.
3,"After 4 iterations, the decrease is begins to taper off."
2,"As the number of iterations increases, the difference in base precision decreases."
3,"After 4 iterations, the difference from base precision begins to flatten."
3,"From 0 to 3 iterations, the difference from base precision rapidly decreases."
3,"There is a little raise during the 6th iteration, only to continue decreasing when we reach the 8th iteration."
3,The pattern that I obverse is always declining after a strong start.
3,"It never returns to 0, aside of the little raise during the 6th iteration, the trend seems to be decreasing at a stable rate."
2,The percent difference from base precision is steadily decreasing as the iteration increases.
3,The iteration on the X-axis shows the largest decrease in difference from base precision around 2 to 4 iterations.
2,"The greater the number of iterations, the greater percent difference from base precision."
2,There is a general downwards trend between base precision and iteration.
3,There is a slight peak (decrease) in the difference from base precision at the 6th iteration.
3,From the chart above it shows that difference base precision with respect to iteration rises most from 2 iteration and continue to increase till it gets to 10 iterations.
2,As we increase the number of iterations the difference from base precision becomes more negative.
3,At 2 iterations the difference from the base precision plummets to a very negative value.
3,In the range between 4 and 10 iterations the difference from the base precision becomes smaller at a slower pace.
2,"The higher the iteration, the higher the difference from base precision."
2,As the iteration increases the difference from base precision decreases.
1,A line plot entitled “Russia unemployment” that shows the unemployment rate by year.
1,The unemployment rate is plotted on the vertical y-axis from 4 to 10%.
1,The year is plotted on the horizontal x-axis from 2006 to 2015.
3,Unemployment is generally decreasing in Russia besides peaking once in 2009.
3,Unemployment follows a zig-zag recurring pattern in the graph.
2,Unemployment reached an all-time low around August 2014.
2,Maximum unemployment (about 9%) was recorded in early 2009.
4,"Unemployment in Russia spiked at the beginning of 2009, correlating with the recession that started at the end of 2007."
3,Generally unemployment in Russia is heading downward.
3,Unemployment in Russia spikes at the beginning of each year.
3,From '10 it is going down at the beginning of the year and rising at the end of the year.
3,"Unemployment in Russia rose up in 2009 and stayed on high level to 2011, when it went down to the previous percentage."
2,"From 2012 to 2015, unemployment in Russia is jumping from 5% to 6%."
2,"In 2009 and 2010, the unemployment rate in Russia is the highest."
2,"In mid-2014, the unemployment rate in Russia is the lowest."
3,The graph for unemployment in Russia between 2006 and 2015 shows a continuous zigzag pattern.
3,The zig-zag pattern tends to follow similar annual changes.
3,"It appears to decrease during the first half of the year, and increase during the second half."
4,The unemployment rate showed a considerable increase during the financial crisis in late 2008-2010.
3,"Since 2010, the unemployment rate gradually decreased until 2015."
4,The variation within unemployment tends to be less volatile after than financial crisis than before.
3,As it gets closer to the end of the year the unemployment increases.
3,After the increase there is a fast decrease in the next year.
3,"Overall, unemployment has decreased over the years."
2,The unemployment rate never exceeded 9.5.
3,Over time the unemployment rate has been decreasing.
3,The Russia unemployment chart shows a zig zag pattern.
3,It increases at some points and decreases at some points.
3,"Overall, unemployment is decreasing."
2,The highest unemployment rate in Russia was in 2009 and 2010 (above 9%).
2,The lowest unemployment rate was in 2014 (below 5%).
3,Since 2010 unemployment rate is going down.
2,In 2008 unemployment rate went up from 5 to 9%.
3,Each year unemployment rate goes down and up.
2,"As time goes by, there is a general decreasing trend of unemployment rate."
2,There is a spike in 2009 of 9%.
3,The unemployment rate fluctuates constantly.
2,Overall the rate decreased from 7.5 to 5.5 percent from 2006 to 2015.
1,A line plot entitled “Walmart reports sixth straight quarterly gain in US sales” that plots the US sales by Year.
1,The US sales are plotted on the vertical y-axis from 70 to $90 billion.
1,The Year is plotted on the horizontal x-axis from 2010 to 2016.
2,"Over the years 2010-2011, the sales go down slightly."
3,"2011 onwards however the sales slowly rise steadily until 2014-2015 where it has a steeper increase, then returning to it's gradual increase and still increases to 82% in 2016"
2,2016 had the highest quarterly gain by Walmart in US.
2,2011 Walmart had the lowest quarterly gain compared to their recent years.
4,The rise in quarterly gain by Walmart shows Walmart's future is safe.
4,Small local shops are becoming more rare.
4,As Walmart provides cheaper products people are forced more to shop there due to economic situations.
4,These years are all after the 2008 recession which caused a lot of economic uncertainty.
3,Walmart's sales seem to be going up almost every year.
2,Walmart's highest year for sales was 2016.
2,Walmart's lowest year for sales was 2011.
4,The earliest years (2010-2011) might be lower because of the 2008 economic crisis.
3,There is a clear stable upwards trend for sales.
2,The growth in sales between 2011 and 2014 is linear.
2,"Overall, there is a general upwards trend."
3,The only year where there is a decrease is between 2010 and 2011.
2,The largest value on the graph is 82 during the year 2016.
2,The lowest value on the graph is about 71 during the year 2011.
3,"Between the years 2011 and 2014, the amount of increase is the same."
3,The largest increase occurs in between the years 2014 and 2015.
2,2016 has been the year with highest number of sales for Walmart.
3,"Before 2016, 2015 seems to has had the biggest tendency or growth in gains."
3,"2011 is the year with least gains, and even so shows a decrease in the earnings."
3,"While there was a slight decline in sales from 2010 to 2011, the US sales for Walmart have been increasing since 2011."
3,The US sales increased from 2011 to 2014 on a steady pace.
3,The span from 2014 to 2015 shows the steepest increase in US sales.
3,The US sales were increasing for five straight years.
3,"Other than in 2010-2011, the sales keep rising every year."
4,"Probably, there was economic crisis peaking in 2011, which resulted in a slight lack of sales."
3,There is a similar steady rise of sales between 2011-2014 and 2015-2016.
4,"In 2014-2015 there has been a greater rise in sales, probably due to commercial or economical rise."
3,Walmart made around 350 billion $ in the course of 6 years in US.
2,Walmart gained less earnings in 2011.
3,Walmart keeps making more money each year.
2,Walmart was at $82 billion in 2016.
3,"If this trend has continued, today Walmart could be past past $90 billion."
3,Since 2011 the Walmart gains have been steadily increasing each year.
3,There was a dip in sales from 2010 and 2011.
3,The biggest annual increase was from 2014 to 2015.
3,Though the rate of sales briefly increased between 2014 and 2015 the rate of increase resumed to the previous rates after 2015.
1,A line plot entitled “Federal Reserve federal funds funds [sic] interest rate target” that plots the interest rate target by Year.
1,The interest rate target is plotted on the vertical y-axis from 0 to 6%.
1,The Year is plotted on the horizontal x-axis from 2005 to 2015.
3,"The interest target rate slowly goes up over the year of 2005-2007, stays on a steady at 5% until 2008 and decreases sharply until a small point about 1/3 through 2008, stays steady for a little bit at 2% until it falls again in 2009, and is completely flat at nearly 0% from 2009 onwards."
3,The interest rate rose to almost 6 percent by 2007 and remained stable throughout 2008.
3,"However, following 2008 interest dropped significantly in 2009 to just above 0 percent."
3,This rate continued to be consistent until 2015.
4,The rate of interest may have dropped following the recession in 2008/09.
4,Ever since the 2008 recession interest rate targets have been fixed at less than 1%.
3,There was a gradual rise reflecting 'stairs' in the interest rate target between 2005 and 2006.
2,The interest target fell by more than 4% between 2008 and 2009.
4,Interest rates plateaued during the 2008 economic recession.
4,"Since the 2008 recession, interest rates have lowered."
4,"Interest rates increased constantly from 2005 to 2007 until the recession hit in 2008, at which point it is flat at nearly 0%."
3,"The interest rate rapidly increased form 2005 to 2005 going from a 2% to a 6%, reaching a plateau at 6% between 2006 and end of 2007 and rapidly decreasing between 2008 and 2009, reaching almost 0% value."
3,"From 2009 to nowadays the interest rate never increased again, remaining at the same rate since 2009."
3,The interest rate target keeps rising up until the middle of 2006.
3,There's a period of time after a quick rise where the interest rate target doesn't change for a year.
2,After 2009 the interest rate target doesn't change at all.
4,This probably means that after 2009 they used low interest rates to get people to invest more.
4,Before the financial crisis the federal funds interest rate was constantly increasing.
4,Because of the financial crisis the  interest rate plummeted to almost 0%.
4,This is because the Federal Reserve had to provide liquidity to the market.
2,From 2009 to 2015 the interest rate did not change.
3,There has been a (mostly) steady rise every month between years 2005-2006.
3,"In years 2006-2008, the rates remained steady, slightly above 5%."
3,"From 2008-2009, there has been an abrupt fall in rates every month, but in a period around July-August, the rates remained the same exactly at 2%."
2,"From 2009 since 2015, the rates either remained completely steady just above 0%."
2,From 2005 to 2007 the interest of federal funds had increased from ~2 to ~5.
2,From 2007 to 2008 it stayed the same (a little bit more than 5 %).
3,"At the end of the year 2007, the interest had decreased drastically in only one year from 5 % to 0."
2,Since 2009 there has been no interest of federal funds.
2,We can observe a gradual increase from 2005 to mid 2006 in the interest rate.
3,From mid 2006 to early 2008 there has been a halt and it seems that it's kept at a single rate of 5% for that duration of time.
3,After that it heavily drops down suddenly until it reaches the lowest it has been since 2005 in the beginning of 2009.
3,"We see neither increase or decrease after 2009, the rate sits at a steady 0."
1,"A line plot entitled “Taiwan exports in US dollars, annual change” that plots the annual change in exports by year."
1,The annual change in exports is plotted on the vertical y-axis from -60 to 80%.
1,The year is plotted on the horizontal x-axis from 2006 to 2015.
2,The Taiwan annual change in exports is lowest in 2009.
2,The Taiwan annual change in exports is highest in 2010.
2,There is a huge spike in annual change from 2009 to 2010.
2,"Between 2006 and mid 2008, Taiwan's exports in US dollars ranged between an estimated 22% and 5%."
3,"After that, there was a big drop in 2009 where the exports dropped to -38%."
4,Which makes sense because a lot happened to the economy due to the 2008 financial crisis.
3,"Then in 2010, the exports skyrocketed back up to a high of an estimated 78%."
3,"Between 2010 and 2012 it gradually dropped, fluctuating 5% up and down as time went by."
2,"Between 2012 and 2015, it ranged between a low of -18% and highs of 10-18%."
3,"Ultimately, in 2015, it began to drop again into the negative, reaching a -18."
3,"The graph shows that Taiwan experienced a period of stagnation from '06-'08, with a heavy decrease for a short period of time in exports in '07."
3,The percentage of exports drops dramatically in the summer of '08 to the summer of '09.
4,One can assume Taiwan experienced an economic recession during that time.
3,"However, Taiwan rebounds significantly and experiences the highest percentage of exports in '10."
3,The number of exports drops to '06 levels in the next two years after '10.
3,The graph trends downward and becomes rocky from '12 to '15.
4,Taiwan is experiencing a time of economic downturn post-2010 and is showing lower numbers than the '06 to '08 period.
3,We can see that between 2006 and 2009 the discrepancy between numbers weren't as high as 2010 and 2012 being the highest export in 2010 with over 80%.
4,"It is noticeable as the global crisis reaches it's peaking point in early 2009, the exports dropped drastically, but they rebound by 2010."
3,"The plot line seems to have frequent changes between months, with a zig-zagging pattern."
3,"It seems that the plot can be divided into three major parts: before mid 2008, between mid 2008 and 2010, and after 2010."
3,"Before 2008, the line is mostly above the 0%, mostly between 10 and 20%."
3,"It seems that a shock happened in 2008 that made the exports crash durably during one year, with exports going down by more than -20%."
3,"After that huge crash, the line spiked at a +80% exportation rate."
3,"After that huge spike in 2010, the exportation continued to zig-zag like before 2008 but not around +10 and +20% but closer to -10 and +10%."
3,"At the end of the graph, it is suggested that year 2015 wasn't good for exports, since it's going down without zigzag, suggesting there may be a more permanent dip."
4,We can suppose that the sub-prime mortgage crisis in 2008 caused that crash.
4,"After a huge crisis, there is usually a big bump that happen afterwards, which is clearly visible here in 2010, but this bump didn't last in the long-term."
4,We might also suppose that the irregular path in 2015 was caused by the new election in Taiwan of a pro-independence leader.
2,From 2006 to 2008 the trend was overall constant.
3,In 2008 there was a substantial drop in exports.
4,The 2008 drop in exports was probably due to the global financial crisis.
3,In 2009 there was a sudden recovery.
2,In 2009 the exports reached their peak.
3,"From 2010 to 2015 the exports register a more stable, but decreasing trend."
3,Prior to 2008 Taiwan exports in US dollars appeared to have consistent annual growth of around 20% per annum.
4,During the financial crisis of 2008 and 2009 Taiwan's exports reduced significantly by around 40% in the year.
3,There was an immediate bounce back in 2010 with growth in the year of exports of nearly 80%.
4,"However, since 2010 Taiwan appears to have lost its competitive advantage to other nations and its exports have become less appealing."
3,This is shown by the gradual annual decline in exports every year since 2010.
3,"There was still positive growth in 2011, 2012 and 2013 but each year the growth rate declined and it became negative in 2015"
2,"Between 2006 and 2008, the annual change was more or less the same."
2,"From 2008 to 2009, it decreased significantly."
3,"From 2009 to 2010, it increased and had it's all time high."
3,"From 2010 to 2015, it slowly decreased at a regular pace until it became negative."
2,2009 was the year with the lowest amount of exports.
2,2010 was the year with the highest amount of exports.
3,"The amount of exports is in a constant fluctuation, nevertheless, it still maintains a relatively regular pattern, excluding years 2009 and 2010."
3,"After 2012, the exports are constantly dipping below 0."
2,In 2008 Taiwan exports in US dollars changed by -45%.
2,In 2009 was the lowest Taiwan exports in US dollars.
2,In 2009 Taiwan exports in US dollars increased by 76%.
3,From 2012 to 2014 Taiwan exports in US dollars is stable.
3,Since 2015 Taiwan exports in US dollars is dropping.
3,From 2008 to 2008 Taiwan exports in US dollars were increasing.
1,A multi-line plot entitled “Employment over time” that plots Male and Female employment by Year.
1,Female Employment is plotted on the left vertical axis from 40 to 60.
1,Male Employment is plotted on the right vertical axis from 50 to 100.
1,Female Employment is plotted in blue and Male Employment is plotted in pink.
1,This chart presents Female and Male employment using two different y-axis scales.
3,"This makes it appear as though Female employment is greater than Male employment, but the opposite is true."
2,Male employment exceeds Female employment from year 0 to 28.
2,Female employment is higher over time over as compared with Male employment.
2,Employment was lowest for both genders in the year of 2020.
2,Employment was highest for both genders in the year of 2010.
3,Both genders follow the same pattern for employment over time.
3,"The graph shows the change between male and female are very similar over time, but the percentages show males have a higher percentage throughout the time period."
3,Both genders experience the same increase and decrease in percent during the 20 year period.
3,"From the graph, one can observe that both genders are equal in the change of percent of employment but unequal in the amount of employment percentage."
3,The graph gives a confusing look on Female vs Male employment.
3,The graph makes it seem that Female employment is more than Male employment when the opposite is true.
2,Female employment peaks at around 56.5 while male employment peaks at around 70.
2,Male employment reaches its peak in 10 year with a 70% value.
2,Female employment reached his peak in 10 year with a 56% value.
3,Both employment rates started to decrease after that year.
2,Male employment reached lowest value of about 60% in 20 year.
2,Female employment reached lower value of 52% in 21 year.
3,Both employment rates seem to follow same trend with different percentiles each.
3,The chart makes it difficult to compare the rates.
2,Male employment had a record high in year 10 at 70%.
2,Male employment had an all-time low in year 20 at approximately 61%.
2,Female employment had a record high in year 10 at approximately 56%.
2,Female employment had an all-time low in year 21 at 52%.
3,Even the female highest rate point is barely near the male lowest point with a 5% difference in favor of male employment rate.
3,There's a serious contrast between the male employment rate and the female's.
3,The chart seems to be purposefully confusing and deceiving in order to look like female employment rates are higher than male's.
3,The chart does suggest that both rates have suffered parallel ups and downs.
3,The chart shows there has been little to no change in the difference between male and female employment rates.
3,Male and female employment follow roughly the same increases and decreases over the years.
3,"Between year 2 and year 10, female employment increased at a slightly higher level than male employment."
3,There is a greater gap between female and male employment at year 20 than there was at year 0.
3,"The graph can be misleading as the female employment line is above the male employment line which implies higher levels of employment, but the two different vertical axes means that this is not true."
3,Therefore this graph is confusing as a visual aid.
3,"This graph is unnecessarily confusing; both because there are two measurements on the y-axis with different scales per mm, and because the colors usually associated with Males and Females are reversed."
3,"It might seem at first that more females have been generally employed than males, but in fact, males count in numbers generally above 65, while the upper limit for females is 60."
3,Both sexes have similar ups and downs.
3,"While it may seem that females have a generally more abrupt statistics, their y-axis is in much smaller scale than males', which mean the changes in employment over years are as small."
3,The employment for both men and women are not stable.
3,Female employment rises at an increasing rate from 0 to 10 and it starts decreasing from 10 to 14.
3,It starts increasing again at the point of 14 to 18.
2,"In year 20, Male employment was the lowest with 61, and Female employment was the same at year 21 with 52."
2,"The biggest employment over time was the biggest in year 10, males 70 and females 56."
2,In year 18 male as well as females employment decreased.
1,A line plot entitled “Future price for a pound of oranges” that plots price by year.
1,Price is plotted on the vertical y-axis from 0 to $2.50.
1,The year is plotted on the horizontal x-axis from 2000 to 2015.
2,Future price of oranges is highest in 2007 and 2012.
2,Future price of oranges is lowest in 2004.
3,There is a huge spike in price of oranges from 2004 to 2007.
3,The price of a pound of oranges has experienced a rollercoaster of increases and decreases over a 15 year period.
2,The price hit its highest at around $2.00 in '07 and '12.
4,One can observe this change as a result of a decrease in the supply of oranges or an increase in demand for oranges.
3,The price decreased dramatically after '07 and '12.
4,This may be due to an increase in the production of oranges to make up for demand but the demand has decreased.
3,The price of oranges appear to be in a zigzag pattern.
3,The most expansion years were 2007 and 2012.
4,I would speculate there were extreme weather conditions that would have caused costs to increase during that time.
2,The price of a pound of oranges peaked twice in 2007 and in 2012.
3,"After peaking, the price goes down by almost 50% in the span of 2-3 years."
2,The maximum price barely exceeds $2.
2,The minimum price is around $0.50.
3,The price seems to be stabilizing over the long term.
