reason_id,image_id,rating,reason,chart,caption,both,group
232,1894,4,"The chart has annotations and different comparison lines making it harder to quickly understand the main takeaway. The use of specific scientific terms might not be immediately clear to everyone. The caption is informative and provides necessary context. The addition of the error bars also adds another layer of information, which can complicate the overall interpretation. ","The chart has annotations and different comparison lines making it harder to quickly understand the main takeaway. The use of specific scientific terms might not be immediately clear to everyone. The addition of the error bars also adds another layer of information, which can complicate the overall interpretation The chart has annotations different comparison lines making it harder to quickly understand the main takeaway The use of specific scientific terms might not be immediately clear to everyone The addition of the error bars also adds another layer of information, which can complicate the overall interpretation",The caption is informative and provides necessary context The caption is informative provides necessary context,,_u_res1
238,1925,4,The cline graphs show the trends for both hemispheres with different symbols. The linear trends provides more clarity about the main trends. The caption provided is gives detailed information about the data shown in the chart.,The cline graphs show the trends for both hemispheres with different symbols The linear trends provides more clarity about the main trends The cline graphs show the trends for both hemispheres with different symbols The linear trends provides more clarity about the main trends,The caption provided is gives detailed information about the data shown in the chart,,_u_res1
241,1947,4,"The caption provides context about the data sources, scenarios, and an explanation of the main trends. It is long and informative, but adds complexity to the interpretation. The chart shows different panels for different scenarios. Despite the detailed context, the visual clarity makes the charts somewhat interpretable. ","The chart shows different panels for different scenarios Despite the detailed context, the visual clarity makes the charts somewhat interpretable It is long informative, adds complexity to the interpretation The chart shows different panels for different scenarios","The caption provides context about the data sources, scenarios, and an explanation of the main trends. It is long and informative, but adds complexity to the interpretation. The caption provides context about the data sources, scenarios, an explanation of the main trends Despite the detailed context, the visual clarity makes the charts somewhat interpretable",,_u_res1
244,1979,4,"The chart shows the main key takeaways, but the multiple components make it complex. The caption provides more information about the chart which makes it somewhat interpretable. ","The chart shows the main key takeaways, but the multiple components make it complex The chart shows the main key takeaways, the multiple components make it complex",The caption provides more information about the chart which makes it somewhat interpretable,,_u_res1
250,2049,4,"The graphs contain a lot of data points and trend lines that are presented clearly. Although the chart effectively conveys the main trends, the lack of detailed labels and annotations might make it harder to interpret the small specific finding without any additional context. ","The graphs contain a lot of data points and trend lines that are presented clearly. Although the chart effectively conveys the main trends, the lack of detailed labels and annotations might make it harder to interpret the small specific finding without any additional context. The graphs contain a lot of data points trend lines that are presented clearly Although the chart effectively conveys the main trends, the lack of detailed labels",annotations might make it harder to interpret the small specific finding without any additional context,,_u_res1
253,2054,4,"The caption is informative, it also has some unnecessary information that might not be needed to interpret the charts. The legend and clear representations make it charts somewhat interpretable. ",The legend and clear representations make it charts somewhat interpretable The legend clear representations make it charts somewhat interpretable,"The caption is informative, it also has some unnecessary information that might not be needed to interpret the charts",,_u_res1
256,2061,4,"The chart's use of consistent color coding and multiple types of vehicles adds to the complexity but provides a good overview of the data. The clear axes and legend help in the interpretation, but many require more context for full understanding. ","The chart's use of consistent color coding and multiple types of vehicles adds to the complexity but provides a good overview of the data. The clear axes and legend help in the interpretation, but many require more context for full understanding The chart's use of consistent color coding multiple types of vehicles adds to the complexity provides a good overview of the data The clear axes legend help in the interpretation,",require more context for full understanding,,_u_res1
265,2356,4,"Given the clear representation, multiple components, and detailed context, it is somewhat interpretable. The use of multiple panels makes it difficult to find a clear takeaway making it somewhat interpretable. ","Given the clear representation, multiple components, and detailed context, it is somewhat interpretable. The use of multiple panels makes it difficult to find a clear takeaway making it somewhat interpretable Given the clear representation, multiple components, The use of multiple panels makes it difficult to find a clear takeaway making it somewhat interpretable",detailed context,,_u_res1
271,2213,4,"The caption provides thorough context about the data sources and the variables shown in each panel. The charts show the long-term trends and provides a comparison. The clear axes and legends help in the understanding of the data, but the technical nature of the content might be overwhelming. The detailed context also might take time to interpret. ","The charts show the long-term trends and provides a comparison. The clear axes and legends help in the understanding of the data, but the technical nature of the content might be overwhelming. the variables shown in each panel The charts show the long-term trends provides a comparison The clear axes legends help in the understanding of the data, the technical nature of the content might be overwhelming",The caption provides thorough context about the data sources and the variables shown in each panel. The detailed context also might take time to interpret The caption provides thorough context about the data sources The detailed context also might take time to interpret,,_u_res1
274,2220,4,The use of different colors and line styles helps compare the categories. The bars at the end represents the ranges and helps interpretating the chart. The caption is needed to fully make an interpretation of the chart.,The use of different colors and line styles helps compare the categories The bars at the end represents the ranges and helps interpretating the chart The use of different colors line styles helps compare the categories The bars at the end represents the ranges helps interpretating the chart,The caption is needed to fully make an interpretation of the chart,,_u_res1
277,2223,4,"The visualization has 2 panels, which adds complexity, but it also gives a good overview of the data. The overall presentation is somewhat interpretable with the given context found in the caption. ","The visualization has 2 panels, which adds complexity, but it also gives a good overview of the data The visualization has 2 panels, which adds complexity, it also gives a good overview of the data",The overall presentation is somewhat interpretable with the given context found in the caption,,_u_res1
280,184,3,Complex caption and the different colored line don't have a clear definition.,the different colored line don't have a clear definition,Complex caption,,_u_res1
286,297,3,"There is no visual clutter, the caption provides a summary of the key trends. No legend is present to explain the non-linear lines ",No legend is present to explain the non-linear lines,"There is no visual clutter, the caption provides a summary of the key trends",,_u_res1
289,407,3,"The caption is detailed but the chart is blurry, 
Difficult to read the chart","the chart is blurry, 
Difficult to read the chart",The caption is detailed,,_u_res1
292,494,3,"Hard to interpret the multiple categories on the chart, 
detailed caption highlights what the chart shows ","Hard to interpret the multiple categories on the chart, 
",detailed caption highlights what the chart shows,,_u_res1
295,754,3,Informative caption but overlapping lines adds more complexity,overlapping lines adds more complexity,Informative caption,,_u_res1
298,1011,3,Detailed caption but multiple bars and no legend for the colors of the bars makes it somewhat confusing.,multiple bars no legend for the colors of the bars makes it somewhat confusing,Detailed caption,,_u_res1
304,1215,3,"The chart presents various categories using box plots, symbols like diamonds and individual data points. The graphs uses colors and symbols which adds complexity. Furthermore, the caption provides detailed information about the each element but it takes time to understand. Visual elements make it somewhat confusing.","The chart presents various categories using box plots, symbols like diamonds and individual data points. The graphs uses colors and symbols which adds complexity Visual elements make it somewhat confusing. The chart presents various categories using box plots, symbols like diamonds individual data points. The graphs uses colors symbols which adds complexity it takes time to understand. Visual elements make it somewhat confusing","Furthermore, the caption provides detailed information about the each element but it takes time to understand",,_u_res1
307,1439,3,"The chart uses different symbols and color to represent various ranges. While the legend and the caption provide the needed context, the multiple data points and lines can be a little confusing to interpret at first glance.  ",The chart uses different symbols and color to represent various ranges The chart uses different symbols color to represent various ranges While the legend lines can be a little confusing to interpret at first glance,"While the legend and the caption provide the needed context, the multiple data points and lines can be a little confusing to interpret at first glance the caption provide the needed context, the multiple data points",,_u_res1
316,604,2,Detailed caption but hard to compare the categories,hard to compare the categories,Detailed caption but hard to compare the categories Detailed caption,,_u_res1
325,846,2,"Complex bar chart under multiple scenarios for the year of 2050. While the caption provides detailed information about the scenarios. But the chart itself is cluttered with multiple bars for each region and scenarios, making it difficult to grasp what is the main takeaway. The overlapping data and use of different colors add more to the confusion. ","Complex bar chart under multiple scenarios for the year of 2050. But the chart itself is cluttered with multiple bars for each region and scenarios, making it difficult to grasp what is the main takeaway. The overlapping data and use of different colors add more to the confusion. ",While the caption provides detailed information about the scenarios,,_u_res1
334,1100,2,"The graph's resolution is low, the graph is blurry. There is no legend present, explaining the different colors and what do they mean. The caption is detailed which helps in understanding the graph's context. ","The graph's resolution is low, the graph is blurry There is no legend present, explaining the different colors what do they mean",The caption is detailed which helps in understanding the graph's context,,_u_res1
337,1112,2,Multiple lines and different colors make it hard to interpret the main takeaway. The detailed caption makes it a little easier to understand the potential economic growth over time.,Multiple lines different colors make it hard to interpret the main takeaway,The detailed caption makes it a little easier to understand the potential economic growth over time,,_u_res1
340,1153,2,The caption does not summarize the main trend of the graph and overlapping lines with the different data sets makes it hard to follow the trends.,overlapping lines with the different data sets makes it hard to follow the trends,The caption does not summarize the main trend of the graph,,_u_res1
343,1206,2,"The chart includes multiple categories with detailed visual elements, overlapping data points, and addition symbols like red diamonds, all of which make it hard to interpret. despite the detailed caption, the overall presentation requires significant effort to comprehend the main takeaways. ","The chart includes multiple categories with detailed visual elements, overlapping data points, addition symbols like red diamonds, all of which make it hard to interpret","despite the detailed caption, the overall presentation requires significant effort to comprehend the main takeaways",,_u_res1
346,1400,2,The chart includes comparisons between pink and blue countries across different time periods. The comparison between the different scenarios takes careful interpretation to understand the main takeaways. Multiple elements and detailed context makes it somewhat confusing.,The chart includes comparisons between pink blue countries across different time periods The comparison between the different scenarios takes careful interpretation to understand the main takeaways Multiple elements makes it somewhat confusing,detailed context makes it somewhat confusing,,_u_res1
349,1510,2,"The visualization includes multiple categories such as causes, consequences, and costs separated into 3 sections for developing, developed, and global totals. Each section includes graphs for sub-categories for dryland loss, wetland loss, etc. The caption provides little information about the main takeaway. While the visualization effectively conveys the potential impacts, the multiple elements and details to focus on make it somewhat confusing. ","The visualization includes multiple categories such as causes, consequences, costs separated into 3 sections for developing, developed, global totals Each section includes graphs for sub-categories for dryland loss, wetland loss, etc While the visualization effectively conveys the potential impacts, the multiple elements details to focus on make it somewhat confusing",The caption provides little information about the main takeaway,,_u_res1
352,1615,2,"The chart has 1 main panel with 4 additional panels. This adds complexity. The caption provides context about the factors and contributions which is informative. But, making the comparisons between the different factors makes it difficult to interpret. ","The chart has 1 main panel with 4 additional panels This adds complexity contributions which is informative But, making the comparisons between the different factors makes it difficult to interpret",The caption provides context about the factors,,_u_res1
355,1633,2,"The visualization has multiple panels, making it difficult to focus on one panel. The different changes are shown and each panel uses different colors but since there are too many of the little panels, it becomes hard to make any observations. The caption is very detailed about the visualization, but it is too long it read, although it summarizes the main trend. I have to zoom in to see the dashed lines and the solid lines to make any interpretation.","The visualization has multiple panels, making it difficult to focus on one panel The different changes are shown each panel uses different colors since there are too many of the little panels, it becomes hard to make any observations , although it summarizes the main trend I have to zoom in to see the dashed lines the solid lines to make any interpretation","The caption is very detailed about the visualization, it is too long it read",,_u_res1
358,1659,2,"The visualization includes 4 panels showing different precipitations for different countries. The use of multiple panels adds to the complexity. Furthermore, the caption is very detailed about the context and while it is informative, the detailed context is hard to interpret. The chart shows different ratios for each panel, and it takes time and careful interpretation to understand the difference between the models. ","The visualization includes 4 panels showing different precipitations for different countries The use of multiple panels adds to the complexity The chart shows different ratios for each panel, it takes time careful interpretation to understand the difference between the models","Furthermore, the caption is very detailed about the context while it is informative, the detailed context is hard to interpret",,_u_res1
361,1748,2,Multiple panels make it hard analyze the full context of these graphs. The caption is detailed but it takes time to analyze.,Multiple panels make it hard analyze the full context of these graphs,The caption is detailed,,_u_res1
364,1750,2,"This visualization includes multiple 3D bar graphs with the use of multiple components adds complexity. The caption provides extensive context about the experiments and scenarios, which is informative but also adds to the overall complexity.","This visualization includes multiple 3D bar graphs with the use of multiple components adds complexity scenarios, which is informative also adds to the overall complexity",The caption provides extensive context about the experiments,,_u_res1
367,1802,2,The terminology and detailed context adds to the complexity. The scatterplot involves technical terms which require previous knowledge to fully understand.,The scatterplot involves technical terms which require background knowledge to fully understand,detailed context adds to the complexity,,_u_res1
370,1838,2,"The caption provides a detailed description of the each panel, but it can be hard to compare each panel and compare data. The complexity in the last panel makes it somewhat confusing. ",it can be hard to compare each panel compare data The complexity in the last panel makes it somewhat confusing,"The caption provides a detailed description of the each panel,",,_u_res1
376,2050,2,"Different colors and symbols are used for different purposes, but it can be confusing to understand what they mean. The chart includes many panels which adds to the complexity and makes it harder to get an overall main takeaway of the date. The caption doesn't summarize the main trend. ","Different colors symbols are used for different purposes, it can be confusing to understand what they mean The chart includes many panels which adds to the complexity makes it harder to get an overall main takeaway of the date",The caption doesn't summarize the main trend,,_u_res1
379,2105,2,"The chart shows a comparison between the historical observations, present simulations, and future climate projects. however, the multiple components, and the lines on b,c,and d make it hard to interpret which makes it somewhat confusing. Although the caption explains what the lines mean it is still hard to get an overall picture of the main trend. ","The chart shows a comparison between the historical observations, present simulations, future climate projects however, the multiple components, the lines on b,c,and d make it hard to interpret which makes it somewhat confusing",Although the caption explains what the lines mean it is still hard to get an overall picture of the main trend,,_u_res1
382,2125,2,"The caption is complex and takes time to interpret Th charts use different colors and liens to show the historical and project changes. The clear axes and legends somewhat help in understanding. However, just looking at the chart won't help in the interpretation. The bar on the right side is also hard to see and see the ranges. ","The charts use different colors lines to show the historical project changes The clear axes legends somewhat help in understanding However, just looking at the chart won't help in the interpretation The bar on the right side is also hard to see see the ranges",The caption is complex takes time to interpret,,_u_res1
385,2254,2,"The chart has labels that are heard to read. There is no legend present in the chart. The caption is too long, and it takes time to interpret the main findings. ",The chart has labels that are hard to read. There is no legend present in the chart.,The caption is too long and  it takes time to interpret the main findings.,,_u_res1
388,2262,2,"The caption provided gives detailed context about the data sources, but it is hard to find a main key takeaway without spending some time understanding what each line style/colors mean. ",it is hard to find a main key takeaway without spending some time understanding what each line style/colors mean,"The caption provided gives detailed context about the data sources,",,_u_res1
391,2276,2,The chart uses different scales to represent the different datasets which makes it somewhat confusing to interpret the data. The caption also does not summarize the main trend.,The chart uses different scales to represent the different datasets which makes it somewhat confusing to interpret the data,The caption also does not summarize the main trend,,_u_res1
394,2300,2,"The 3 panels show different results, it hard to compare them. The caption does a good job of explaining what the trends are, but the detailed context adds complexity.  Furthermore, the chart includes grey region that the lines go into which also makes it somewhat confusing. ","The 3 panels show different results, it hard to compare them Furthermore, the chart includes grey region that the lines go into which also makes it somewhat confusing","The caption does a good job of explaining what the trends are, the detailed context adds complexity",,_u_res1
400,2152,2,The use of multiple components adds to the complexity of interpretation. The use of technical terms makes it somewhat confusing. The caption provides thorough context but the details add more complexity.,The use of multiple components adds to the complexity of interpretation.,The use of technical terms makes it somewhat confusing. The caption provides thorough context but the details add more complexity.,,_u_res1
403,2194,2,The use of error bars and different symbols help in understanding the data but it is also difficult to see the error bars for (a). The detailed information can be too much for some viewers.,The use of error bars different symbols help in understanding the data it is also difficult to see the error bars for (a),The detailed information can be too much for some viewers,,_u_res1
406,2215,2,"The visualization includes 2 panels, the use of multiple components in each panels makes it somewhat challenging to quickly grasp the main trends. the caption provides detailed context about the dat. While it is informative, it also adds complexity. ","The visualization includes 2 panels, the use of multiple components in each panels makes it somewhat challenging to quickly grasp the main trends ","the caption provides detailed context about the data. While it is informative, it also adds complexity",,_u_res1
412,909,1,"Caption is too long, multiple bars and categories make it confusing to understand what the main takeaways are.  Although, the chart is labeled the layout is dense. ","multiple bars and categories make it confusing to understand what the main takeaways are Although, the chart is labeled the layout is dense",Caption is too long,,_u_res1
421,1087,1,"While the caption explains the context, the graph itself is very complex with multiple overlapping lines representing different time periods. The error bars also makes it more difficult to grasp the main takeaway.",The graph itself is very complex with multiple overlapping lines representing different time periods. The error bars also makes it more difficult to grasp the main takeaway,While the caption explains the context,,_u_res1
424,1146,1,"This visualization consists of 6 bar graphs, broken down into different regions and aerosols. The caption is detailed however the overall layout is cluttered with many bars, colors codes and error bars. The dense information make it difficult to quickly understand takeaway. ","This visualization consists of 6 bar graphs, broken down into different regions aerosols error bars. However the overall layout is cluttered with many bars, colors codes and error bars. The dense information make it difficult to quickly understand takeaway",The caption is detailed,,_u_res1
430,1178,1,"While the caption provides detailed context, the graph has too many lines that overlap which makes it difficult to graph the main trends. ",the graph has too many lines that overlap which makes it difficult to graph the main trends,While the caption provides detailed context,,_u_res1
433,1192,1,"While the caption provides details context, the graph includes multiple lines and double axes and complex data sources make it very confusing. ",the graph includes multiple lines and double axes and complex data sources make it very confusing,While the caption provides details context,,_u_res1
436,1205,1,"The chart includes multiple overlapping lines representing different regions and uses both double x-axis and y-axis scales, adding to the complexity. The 4 charts make it hard to understanding the main trends. While the caption provides detailed context about the different location and data sources, but the overall layout makes it very confusing to interpret the main takeaway.","The chart includes multiple overlapping lines representing different regions uses both double x-axis y-axis scales, adding to the complexity The 4 charts make it hard to understanding the main trends data sources, the overall layout makes it very confusing to interpret the main takeaway",While the caption provides detailed context about the different location,,_u_res1
439,1232,1,"There are 4 different panels with different scenarios and models, which adds complexity. Each panel contains multiple lines representing different models and further makes it complex. While the caption provides context, it is too long to read. ","There are 4 different panels with different scenarios models, which adds complexity. Each panel contains multiple lines representing different models further makes it complex","While the caption provides context, it is too long to read",,_u_res1
445,1294,1,"The caption is too long, and the graph has multiple elements that represent with vertical bars with various colors lines and symbols, making it hard to read. The caption is too detailed, but it takes time to interpret the information. Furthermore, the compares multiple models which requires careful interpretation. ","the graph has multiple elements that represent with vertical bars with various colors lines symbols, making it hard to read it takes time to interpret the information Furthermore, the compares multiple models which requires careful interpretation","The caption is too long, The caption is too detailed,",,_u_res1
454,1751,1,There are different colored triangles shown in one of the graphs is confusing. Making a comparison between the two graphs is confusing.  Multiple elements and detailed context make it confusing to understand.,There are different colored triangles shown in one of the graphs is confusing Making a comparison between the two graphs is confusing Multiple elements,detailed context make it confusing to understand,,_u_res1
460,1946,1,"There are multiple lines that overlap, and there are variations of lines (dashed, dotted, straight) which is difficult to see. The caption is long and although it is informative, it can be confusing to understand. Trying to get a main takeaway can be hard. ","There are multiple lines that overlap, there are variations of lines (dashed, dotted, straight) which is difficult to see  Trying to get a main takeaway can be hard","The caption is long and although it is informative, it can be confusing to understand",,_u_res1
463,1953,1,"The various data points for different models and the alternate observational datasets adds to the complexity of chart. While the caption is concise and informative, understanding the data points and different variables can be overwhelming. ",The various data points for different models the alternate observational datasets adds to the complexity of chart,"While the caption is concise and informative, understanding the data points and different variables can be overwhelming. ",,_u_res1
478,2074,2,"multiple panels would have made it easier to read the chart, stacking charts with different labels for y-axis makes it difficult to read. Individual components of the chart are easy to read. A lot of information is encoded in the chart making it overwhelming to look at. Caption does not give the necessary context. Takeaway message is not clearly mentioned in the caption.","multiple panels would have made it easier to read the chart, stacking charts with different labels for y-axis makes it difficult to read Individual components of the chart are easy to read A lot of information is encoded in the chart making it overwhelming to look at",Caption does not give the necessary context Takeaway message is not clearly mentioned in the caption,,_u_res1
481,2103,2,"chart shows different attributes in a shared y-axis. Chart would be easire to read if it was divided into multiple panels. Legend required to understand chart components in not available in the chart. Use of dual axis makes it more confusing to read the charts. The caption does not clarify what chart components represent. Caption does not clearly state the takeaway message, does not expalin the observed pattern. definition of shaded region in the caption helps understand the chart but does not give a clear idea of the intent.",chart shows different attributes in a shared y-axis Chart would be easire to read if it was divided into multiple panels Legend required to understand chart components in not available in the chart Use of dual axis makes it more confusing to read the charts does not give a clear idea of the intent,"Caption does not clearly state the takeaway message, does not expalin the observed pattern The caption does not clarify what chart components represent definition of shaded region in the caption helps understand the chart",,_u_res1
484,2138,2,Caption mentions source of the but is not a valuable information. Use of different encoding techniques to represent data in the chart makes it difficult to understand what each point shows.,Use of different encoding techniques to represent data in the chart makes it difficult to understand what each point shows,Caption mentions source of the is not a valuable information,,_u_res1
485,2138,2,Caption mentions source of the but is not a valuable information. Use of different encoding techniques to represent data in the chart makes it difficult to understand what each point shows.,Use of different encoding techniques to represent data in the chart makes it difficult to understand what each point shows.,Caption mentions source of the but is not a valuable information.,,_u_res1
487,2141,3,"clutter in the chart is overwhelming. Shared axis show use the same scale and unit making it easy to read the chart. since color and spatial regions are used to encode an attribute, it is easy to read the chart even if a legend for color usage is not provided. Caption clearly states the takeaway message and summarizes the observed patterns in the graph making it highly interpretable.","clutter in the chart is overwhelming Shared axis show use the same scale unit making it easy to read the chart since color spatial regions are used to encode an attribute, it is easy to read the chart even if a legend for color usage is not provided ",Caption clearly states the takeaway message and summarizes the observed patterns in the graph making it highly interpretable,,_u_res1
493,2354,4,Caption clearly concludes the takeaway message. The clutter in the chart is ovewhelming.,The clutter in the chart is ovewhelming,Caption clearly concludes the takeaway message,,_u_res1
494,2354,4,Caption clearly concludes the takeaway message. The clutter in the chart is ovewhelming.,The clutter in the chart is ovewhelming,Caption clearly concludes the takeaway message,,_u_res1
496,2251,1,Caption provides important information but chart legend is repeated in the caption which is distracting. Restructuring the chart to highlight takeway message would make it easier to interpret. Trend is easy to read in the chart but multiple axes with different ticks makes the observed trend unreliable.,Restructuring the chart to highlight takeway message would make it easier to interpret Trend is easy to read in the chart multiple axes with different ticks makes the observed trend unreliable,Caption provides important information. chart legend is repeated in the caption which is distracting,chart legend is repeated in the caption which is distracting,_u_res1
497,2251,1,Caption provides important information but chart legend is repeated in the caption which is distracting. Restructuring the chart to highlight takeway message would make it easier to interpret. Trend is easy to read in the chart but multiple axes with different ticks makes the observed trend unreliable.,Restructuring the chart to highlight takeway message would make it easier to interpret. Trend is easy to read in the chart but multiple axes with different ticks makes the observed trend unreliable.,Caption provides important information but chart legend is repeated in the caption which is distracting.,,_u_res1
499,149,1,legend for colors used in the chart are not defined. Axes used in the chart are nod labeled. The chart is annotated but the context required to understand the annotations are not given in the caption. Difficult to connect caption to the chart.,legend for colors used in the chart are not defined Axes used in the chart are nod labeled The chart is annotated,"the context required to understand the annotations are not given in the caption, Difficult to connect caption to the chart",,_u_res1
502,152,1,chart is exteremely cluttered and lack proper labels. Goal of the visualization is unclear and is not mentioned in the caption. The caption also does not summarize the takeaway message. Caption does not provide context necessary to understand the chart.,chart is exteremely cluttered lack proper labels Goal of the visualization is unclear,is not mentioned in the caption The caption also does not summarize the takeaway message Caption does not provide context necessary to understand the chart,,_u_res1
503,152,1,chart is exteremely cluttered and lack proper labels. Goal of the visualization is unclear and is not mentioned in the caption. The caption also does not summarize the takeaway message. Caption does not provide context necessary to understand the chart.,chart is exteremely cluttered and lack proper labels. Goal of the visualization is unclear,Goal of visualization is not mentioned in the caption. The caption also does not summarize the takeaway message. Caption does not provide context necessary to understand the chart.,,_u_res1
509,196,4,Components of the chart are clearly labeled and well annotated. Caption summarizes the visualization. Caption expands on the visualization components.,Components of the chart are clearly labeled well annotated,Caption summarizes the visualization Caption expands on the visualization components,,_u_res1
511,290,4,caption is detailed and explains labels of the chart and data used to create the visualization. Caption guides in reading the chart which helps in getting the takeaway message. Use of grid in the 3D chart makes it easy to read. The chart has prominent patterns but takeaway message is not clear.,Use of grid in the 3D chart makes it easy to read The chart has prominent patterns takeaway message is not clear,caption is detailed and explains labels of the chart data used to create the visualization. Caption guides in reading the chart which helps in getting the takeaway message,,_u_res1
512,290,4,caption is detailed and explains labels of the chart and data used to create the visualization. Caption guides in reading the chart which helps in getting the takeaway message. Use of grid in the 3D chart makes it easy to read. The chart has prominent patterns but takeaway message is not clear.,Use of grid in the 3D chart makes it easy to read The chart has prominent patterns takeaway message is not clear,caption is detailed and explains labels of the chart and data used to create the visualization. Caption guides in reading the chart which helps in getting the takeaway message.,,_u_res1
517,765,2,Caption describe the chart and helps to grasp low level messages. Caption does not provide any context or takeaway message. Caption does not describe observed patterns. Chart does not include legend for encodings.,Chart does not include legend for encodings,Caption describe the chart and helps to grasp low level messages. Caption does not provide any context or takeaway message Caption does not describe observed patterns,Caption describe the chart,_u_res1
518,765,2,Caption describe the chart and helps to grasp low level messages. Caption does not provide any context or takeaway message. Caption does not describe observed patterns. Chart does not include legend for encodings.,Chart does not include legend for encodings.,Caption describe the chart and helps to grasp low level messages. Caption does not provide any context or takeaway message. Caption does not describe observed patterns.,,_u_res1
520,859,3,The axes title are descriptive in the chartwhich helps in understanding the pattern and overall takeaway message. Caption does not add any value.,The axes title are descriptive in the chartwhich helps in understanding the pattern and overall takeaway message,Caption does not add any value,The axes title are descriptive in the chartwhich helps in understanding the pattern,_u_res1
523,882,4,"Caption summarizes the message shown in the chart however, domain knowledge is required to get a clear takeaway message. Chart is easy to read and low level message is easy to grasp",Chart is easy to read low level message is easy to grasp,"Caption summarizes the message shown in the chart however, domain knowledge is required to get a clear takeaway message",,_u_res1
526,547,3,title of subplots in the visualization are included in the caption. Chart does not have legend of the colors used. caption does not provide sufficient context of the chart.,Chart does not have legend of the colors used,"title of subplots in the visualization are included in the caption, caption does not provide sufficient context of the chart",,_u_res1
532,413,2,caption only describes the chart. chart does not include legend for colors used. Low level message is easy to grasp from the chart. Key takeaway of the visualization is not mentioned in the caption.,chart does not include legend for colors used Low level message is easy to grasp from the chart,caption only describes the chart Key takeaway of the visualization is not mentioned in the caption,,_u_res1
533,413,2,caption only describes the chart. chart does not include legend for colors used. Low level message is easy to grasp from the chart. Key takeaway of the visualization is not mentioned in the caption.,chart does not include legend for colors used Low level message is easy to grasp from the chart,caption only describes the chart. Key takeaway of the visualization is not mentioned in the caption.,,_u_res1
535,442,2,Marks in the chart overlap causing visual clutter. Abberviations used in the chart are unclear. Caption does not describe the visualization. Cption does not prodive context of the data. Multiple plots are placed close to each other in the chart. legend for multiple symbols used in the chart are not given.,Marks in the chart overlap causing visual clutter Abberviations used in the chart are unclear Multiple plots are placed close to each other in the chart legend for multiple symbols used in the chart are not given,Caption does not describe the visualization. Caption does not prodive context of the data,Caption does not describe the visualization,_u_res1
538,2018,4,"the chart has difficult to see axes labels but trend show easy takeaway. Chart does not have legend for colors used. Multiple graphs used but relation between them is not clear. 
Caption has data source which isn’t important. Caption describes trend which adds to length which is distracting. Caption provides context but doesn’t have enough information. Caption does not indicate the takeaway message.",the chart has difficult to see axes labels trend show easy takeaway Chart does not have legend for colors used Multiple graphs used relation between them is not clear,Caption has data source which isn’t important Caption describes trend which adds to length which is distracting Caption provides context but doesn’t have enough information. Caption does not indicate the takeaway message,,_u_res1
541,2025,2,"multiple graphs in one view are difficult to read. Visual clutter makes it difficult to read the chart. The visualization is complex and difficult to understand.
Caption describes chart components. Caption does not describe the trend or takeaway is needed. Caption has reference to the context but inline summary of context would be useful.",multiple graphs in one view are difficult to read Visual clutter makes it difficult to read the chart The visualization is complex difficult to understand,Caption does not describe the trend or takeaway is needed Caption has reference to the context. Caption describes chart components inline summary of context would be useful,,_u_res1
544,2060,4,Caption describes the visualization. Caption does not explain the trend. Lack of domain knowledge makes it difficult to read the chart. Key takeaway is not clear looking at both. Shared x-axis in the chart helps to compare the different data attributes plotted in the chart.,Lack of domain knowledge makes it difficult to read the chart Key takeaway is not clear looking at both Shared x-axis in the chart helps to compare the different data attributes plotted in the chart,Caption describes the visualization. Caption does not explain the trend,,_u_res1
547,2064,2,The chart is cluttered. Details about the source of the data in the caption is distracting. Caption defines the components used in the visualization. Caption does not mention the key takeaway and or summarize the trend. Caption is difficult to understand. Some claims made in the caption cannot be observed in the chart.,The chart is cluttered or summarize the trend,Details about the source of the data in the caption is distracting Caption does not mention the key takeaway Caption is difficult to understand. Caption defines the components used in the visualization Some claims made in the caption cannot be observed in the chart,,_u_res1
548,2064,2,The chart is cluttered. Details about the source of the data in the caption is distracting. Caption defines the components used in the visualization. Caption does not mention the key takeaway and or summarize the trend. Caption is difficult to understand. Some claims made in the caption cannot be observed in the chart.,The chart is cluttered,Details about the source of the data in the caption is distracting. Caption defines the components used in the visualization. Caption does not mention the key takeaway and or summarize the trend. Caption is difficult to understand. Some claims made in the caption cannot be observed in the chart.,,_u_res1
550,2117,3,Caption contains context required to understand the visualization. Caption explain the chart well. Caption does not mention the key takeaway message. Use of 3D visualization in the chart makes it difficult to extract values in the z-axis. The chart gives an idea of the key takeaway message.,Use of 3D visualization in the chart makes it difficult to extract values in the z-axis The chart gives an idea of the key takeaway message,Caption contains context required to understand the visualization Caption explain the chart well Caption does not mention the key takeaway message,,_u_res1
553,2163,4,Caption describes the labels and patterns observed which is useful. The chart is extremely cluttered making it difficult to grasp the key takeaway message. A pattern can be observed in the chart but the intended message is not clear.,The chart is extremely cluttered making it difficult to grasp the key takeaway message A pattern can be observed in the chart the intended message is not clear,Caption describes the labels and patterns observed which is useful,,_u_res1
554,2163,4,Caption describes the labels and patterns observed which is useful. The chart is extremely cluttered making it difficult to grasp the key takeaway message. A pattern can be observed in the chart but the intended message is not clear.,The chart is extremely cluttered making it difficult to grasp the key takeaway message. A pattern can be observed in the chart but the intended message is not clear.,Caption describes the labels and patterns observed which is useful.,,_u_res1
